Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
3RDPTIN,5240,17-NOV-1986 12:08,G,"CHLOROPHYLL-A, CORRECTED",2.0,ug/L
3RDPTIN,5240,17-NOV-1986 12:08,G,CHLOROPHYLL-C,1.5,ug/L
3RDPTIN,5240,17-NOV-1986 12:08,G,NITRATE-N,-0.004,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,PHEOPHYTIN,1.3,ug/L
3RDPTIN,5240,17-NOV-1986 12:08,G,CAROTENOIDS,1.3,ug/L
3RDPTIN,5240,17-NOV-1986 12:08,G,CHLOROPHYLL-B,1.3,ug/L
3RDPTIN,5240,17-NOV-1986 12:08,G,CHLOROPHYLL-A,2.7,ug/L
3RDPTIN,5240,17-NOV-1986 12:08,G,CHLORIDE,79.4,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,"PHOSPHATE, TOTAL AS P",0.012,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,"KJELDAHL NITROGEN, TOTAL",1.66,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,AMMONIA-N,-0.01,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,NITRITE-N,-0.004,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,NITRATE+NITRITE-N,0.006,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,COLOR,35.0,PCU
3RDPTIN,5240,17-NOV-1986 12:08,G,TURBIDITY,0.5,NTU
3RDPTIN,5240,17-NOV-1986 12:08,G,SECCHI DISK DEPTH,1.3,meters
3RDPTIN,5240,17-NOV-1986 12:08,G,"PH, FIELD",7.8,None
3RDPTIN,5240,17-NOV-1986 12:08,G,"SP CONDUCTIVITY, FIELD",577.0,uS/cm
3RDPTIN,5240,17-NOV-1986 12:08,G,DISSOLVED OXYGEN,8.8,mg/L
3RDPTIN,5240,17-NOV-1986 12:08,G,Temperature,26.3,Deg C
3RDPTIN,5240,17-NOV-1986 12:08,G,"ALKALINITY, TOT, CACO3",121.6,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,CHLOROPHYLL-C,2.7,ug/L
3RDPTIN,5282,10-DEC-1986 09:00,G,"CHLOROPHYLL-A, CORRECTED",4.6,ug/L
3RDPTIN,5282,10-DEC-1986 09:00,G,"ALKALINITY, TOT, CACO3",121.1,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,NITRATE-N,-0.004,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,PHEOPHYTIN,1.8,ug/L
3RDPTIN,5282,10-DEC-1986 09:00,G,CAROTENOIDS,2.8,ug/L
3RDPTIN,5282,10-DEC-1986 09:00,G,CHLOROPHYLL-B,1.1,ug/L
3RDPTIN,5282,10-DEC-1986 09:00,G,CHLOROPHYLL-A,5.7,ug/L
3RDPTIN,5282,10-DEC-1986 09:00,G,CHLORIDE,82.7,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,"PHOSPHATE, TOTAL AS P",0.013999999999999999,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,"KJELDAHL NITROGEN, TOTAL",1.59,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,AMMONIA-N,-0.01,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,NITRITE-N,0.006,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,NITRATE+NITRITE-N,-0.004,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,COLOR,39.0,PCU
3RDPTIN,5282,10-DEC-1986 09:00,G,TURBIDITY,1.3,NTU
3RDPTIN,5282,10-DEC-1986 09:00,G,SECCHI DISK DEPTH,1.1,meters
3RDPTIN,5282,10-DEC-1986 09:00,G,"PH, FIELD",7.73,None
3RDPTIN,5282,10-DEC-1986 09:00,G,"SP CONDUCTIVITY, FIELD",596.0,uS/cm
3RDPTIN,5282,10-DEC-1986 09:00,G,DISSOLVED OXYGEN,4.2,mg/L
3RDPTIN,5282,10-DEC-1986 09:00,G,Temperature,22.4,Deg C
3RDPTIN,5338,03-FEB-1987 14:58,G,PHEOPHYTIN,0.8,ug/L
3RDPTIN,5338,03-FEB-1987 14:58,G,"CHLOROPHYLL-A, CORRECTED",3.9,ug/L
3RDPTIN,5338,03-FEB-1987 14:58,G,DISSOLVED OXYGEN,9.8,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,"SP CONDUCTIVITY, FIELD",608.0,uS/cm
3RDPTIN,5338,03-FEB-1987 14:58,G,"PH, FIELD",8.1,None
3RDPTIN,5338,03-FEB-1987 14:58,G,SECCHI DISK DEPTH,1.4,meters
3RDPTIN,5338,03-FEB-1987 14:58,G,TURBIDITY,0.6,NTU
3RDPTIN,5338,03-FEB-1987 14:58,G,COLOR,38.0,PCU
3RDPTIN,5338,03-FEB-1987 14:58,G,NITRATE+NITRITE-N,-0.004,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,NITRITE-N,-0.004,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,AMMONIA-N,-0.01,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,"KJELDAHL NITROGEN, TOTAL",0.56,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,"PHOSPHATE, TOTAL AS P",0.011000000000000001,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,CHLORIDE,85.5,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,CHLOROPHYLL-A,4.4,ug/L
3RDPTIN,5338,03-FEB-1987 14:58,G,NITRATE-N,-0.004,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,"ALKALINITY, TOT, CACO3",124.5,mg/L
3RDPTIN,5338,03-FEB-1987 14:58,G,Temperature,20.7,Deg C
3RDPTIN,5398,02-APR-1987 12:55,G,NITRATE-N,-0.004,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,"ALKALINITY, TOT, CACO3",119.1,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,CHLOROPHYLL-A,1.8,ug/L
3RDPTIN,5398,02-APR-1987 12:55,G,CHLORIDE,73.6,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,"PHOSPHATE, TOTAL AS P",0.02,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,"KJELDAHL NITROGEN, TOTAL",1.34,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,AMMONIA-N,-0.01,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,NITRITE-N,-0.004,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,NITRATE+NITRITE-N,-0.004,mg/L
3RDPTIN,5398,02-APR-1987 12:55,G,COLOR,46.0,PCU
3RDPTIN,5398,02-APR-1987 12:55,G,TURBIDITY,0.7,NTU
3RDPTIN,5398,02-APR-1987 12:55,G,SECCHI DISK DEPTH,1.3,meters
3RDPTIN,5398,02-APR-1987 12:55,G,"PH, FIELD",7.7,None
3RDPTIN,5398,02-APR-1987 12:55,G,"SP CONDUCTIVITY, FIELD",576.0,uS/cm
