Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
3RDPTMID,5239,17-NOV-1986 11:51,G,DISSOLVED OXYGEN,7.1,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,Temperature,26.3,Deg C
3RDPTMID,5239,17-NOV-1986 11:51,G,CHLOROPHYLL-C,1.3,ug/L
3RDPTMID,5239,17-NOV-1986 11:51,G,"CHLOROPHYLL-A, CORRECTED",9.1,ug/L
3RDPTMID,5239,17-NOV-1986 11:51,G,"ALKALINITY, TOT, CACO3",117.3,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,NITRATE-N,-0.004,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,PHEOPHYTIN,1.5,ug/L
3RDPTMID,5239,17-NOV-1986 11:51,G,CAROTENOIDS,4.8,ug/L
3RDPTMID,5239,17-NOV-1986 11:51,G,CHLOROPHYLL-B,0.9,ug/L
3RDPTMID,5239,17-NOV-1986 11:51,G,CHLOROPHYLL-A,10.1,ug/L
3RDPTMID,5239,17-NOV-1986 11:51,G,CHLORIDE,79.9,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,"PHOSPHATE, TOTAL AS P",0.026000000000000002,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,"KJELDAHL NITROGEN, TOTAL",1.45,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,AMMONIA-N,-0.01,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,NITRITE-N,-0.004,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,NITRATE+NITRITE-N,-0.004,mg/L
3RDPTMID,5239,17-NOV-1986 11:51,G,COLOR,36.0,PCU
3RDPTMID,5239,17-NOV-1986 11:51,G,TURBIDITY,1.3,NTU
3RDPTMID,5239,17-NOV-1986 11:51,G,SECCHI DISK DEPTH,1.2,meters
3RDPTMID,5239,17-NOV-1986 11:51,G,"PH, FIELD",8.1,None
3RDPTMID,5239,17-NOV-1986 11:51,G,"SP CONDUCTIVITY, FIELD",566.0,uS/cm
3RDPTMID,5281,10-DEC-1986 08:50,G,CAROTENOIDS,20.2,ug/L
3RDPTMID,5281,10-DEC-1986 08:50,G,Temperature,23.6,Deg C
3RDPTMID,5281,10-DEC-1986 08:50,G,"CHLOROPHYLL-A, CORRECTED",39.0,ug/L
3RDPTMID,5281,10-DEC-1986 08:50,G,"ALKALINITY, TOT, CACO3",115.9,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,NITRATE-N,-0.004,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,PHEOPHYTIN,2.1,ug/L
3RDPTMID,5281,10-DEC-1986 08:50,G,CHLOROPHYLL-B,-0.2,ug/L
3RDPTMID,5281,10-DEC-1986 08:50,G,CHLOROPHYLL-A,41.2,ug/L
3RDPTMID,5281,10-DEC-1986 08:50,G,CHLORIDE,77.5,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,"PHOSPHATE, TOTAL AS P",0.046,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,"KJELDAHL NITROGEN, TOTAL",2.18,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,AMMONIA-N,-0.01,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,NITRITE-N,-0.004,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,NITRATE+NITRITE-N,-0.004,mg/L
3RDPTMID,5281,10-DEC-1986 08:50,G,COLOR,36.0,PCU
3RDPTMID,5281,10-DEC-1986 08:50,G,TURBIDITY,6.2,NTU
3RDPTMID,5281,10-DEC-1986 08:50,G,SECCHI DISK DEPTH,0.7,meters
3RDPTMID,5281,10-DEC-1986 08:50,G,"PH, FIELD",7.96,None
3RDPTMID,5281,10-DEC-1986 08:50,G,"SP CONDUCTIVITY, FIELD",562.0,uS/cm
