Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
3RDPTOUT,5238,17-NOV-1986 11:38,G,CHLOROPHYLL-C,-1.3,ug/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,Temperature,27.0,Deg C
3RDPTOUT,5238,17-NOV-1986 11:38,G,"ALKALINITY, TOT, CACO3",97.4,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,PHEOPHYTIN,3.6,ug/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,CAROTENOIDS,10.3,ug/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,CHLOROPHYLL-B,-0.4,ug/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,CHLOROPHYLL-A,22.5,ug/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,CHLORIDE,72.1,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,"PHOSPHATE, TOTAL AS P",0.045,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,"PHOSPHATE, ORTHO AS P",0.009000000000000001,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,"KJELDAHL NITROGEN, TOTAL",1.51,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,AMMONIA-N,-0.01,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,NITRITE-N,0.008,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,NITRATE+NITRITE-N,0.005,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,COLOR,34.0,PCU
3RDPTOUT,5238,17-NOV-1986 11:38,G,TURBIDITY,3.2,NTU
3RDPTOUT,5238,17-NOV-1986 11:38,G,SECCHI DISK DEPTH,1.0,meters
3RDPTOUT,5238,17-NOV-1986 11:38,G,"PH, FIELD",8.5,None
3RDPTOUT,5238,17-NOV-1986 11:38,G,"SP CONDUCTIVITY, FIELD",514.0,uS/cm
3RDPTOUT,5238,17-NOV-1986 11:38,G,DISSOLVED OXYGEN,8.1,mg/L
3RDPTOUT,5238,17-NOV-1986 11:38,G,"CHLOROPHYLL-A, CORRECTED",19.8,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,"CHLOROPHYLL-A, CORRECTED",43.8,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,"ALKALINITY, TOT, CACO3",102.4,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,NITRATE-N,-0.004,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,PHEOPHYTIN,4.1,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,CAROTENOIDS,26.4,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,CHLOROPHYLL-B,-0.2,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,CHLOROPHYLL-A,47.2,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,CHLORIDE,77.6,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,"PHOSPHATE, TOTAL AS P",0.057,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,"KJELDAHL NITROGEN, TOTAL",1.68,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,AMMONIA-N,-0.01,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,NITRITE-N,-0.004,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,NITRATE+NITRITE-N,-0.004,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,COLOR,37.0,PCU
3RDPTOUT,5280,10-DEC-1986 08:40,G,TURBIDITY,7.2,NTU
3RDPTOUT,5280,10-DEC-1986 08:40,G,SECCHI DISK DEPTH,0.7,meters
3RDPTOUT,5280,10-DEC-1986 08:40,G,"PH, FIELD",8.28,None
3RDPTOUT,5280,10-DEC-1986 08:40,G,"SP CONDUCTIVITY, FIELD",550.0,uS/cm
3RDPTOUT,5280,10-DEC-1986 08:40,G,DISSOLVED OXYGEN,7.3,mg/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,CHLOROPHYLL-C,7.6,ug/L
3RDPTOUT,5280,10-DEC-1986 08:40,G,Temperature,24.1,Deg C
3RDPTOUT,5339,03-FEB-1987 15:11,G,Temperature,20.3,Deg C
3RDPTOUT,5339,03-FEB-1987 15:11,G,"CHLOROPHYLL-A, CORRECTED",38.8,ug/L
3RDPTOUT,5339,03-FEB-1987 15:11,G,"SP CONDUCTIVITY, FIELD",579.0,uS/cm
3RDPTOUT,5339,03-FEB-1987 15:11,G,"PH, FIELD",8.6,None
