Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
C-POLES,0048,10-AUG-1995 11:30,G,"PHOSPHATE, TOTAL AS P",0.045,mg/L
C-POLES,0048,10-AUG-1995 11:30,G,TOTAL SUSPENDED SOLIDS,6.0,mg/L
C-POLES,0048,10-AUG-1995 11:30,G,NITRATE+NITRITE-N,-0.004,mg/L
C-POLES,0048,10-AUG-1995 11:30,G,AMMONIA-N,-0.01,mg/L
C-POLES,0048,10-AUG-1995 11:30,G,"KJELDAHL NITROGEN, TOTAL",1.171,mg/L
C-POLES,0048,10-AUG-1995 11:30,G,"PHOSPHATE, ORTHO AS P",0.009000000000000001,mg/L
C-POLES,0049,10-AUG-1995 11:45,UNK,NITRATE+NITRITE-N,-0.004,mg/L
C-POLES,0049,10-AUG-1995 11:45,UNK,"PHOSPHATE, TOTAL AS P",0.040999999999999995,mg/L
C-POLES,0049,10-AUG-1995 11:45,UNK,"PHOSPHATE, ORTHO AS P",0.008,mg/L
C-POLES,0049,10-AUG-1995 11:45,UNK,"KJELDAHL NITROGEN, TOTAL",1.051,mg/L
C-POLES,0049,10-AUG-1995 11:45,UNK,AMMONIA-N,-0.01,mg/L
C-POLES,0049,10-AUG-1995 11:45,UNK,TOTAL SUSPENDED SOLIDS,6.0,mg/L
C-POLES,0056,17-AUG-1995 15:00,G,"PHOSPHATE, TOTAL AS P",0.059000000000000004,mg/L
C-POLES,0056,17-AUG-1995 15:00,G,AMMONIA-N,-0.01,mg/L
C-POLES,0056,17-AUG-1995 15:00,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
C-POLES,0056,17-AUG-1995 15:00,G,"KJELDAHL NITROGEN, TOTAL",1.002,mg/L
C-POLES,0056,17-AUG-1995 15:00,G,TOTAL SUSPENDED SOLIDS,4.0,mg/L
C-POLES,0056,17-AUG-1995 15:00,G,NITRATE+NITRITE-N,-0.004,mg/L
C-POLES,0057,17-AUG-1995 15:10,UNK,"KJELDAHL NITROGEN, TOTAL",1.02,mg/L
C-POLES,0057,17-AUG-1995 15:10,UNK,AMMONIA-N,-0.01,mg/L
C-POLES,0057,17-AUG-1995 15:10,UNK,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
C-POLES,0057,17-AUG-1995 15:10,UNK,NITRATE+NITRITE-N,-0.004,mg/L
C-POLES,0057,17-AUG-1995 15:10,UNK,"PHOSPHATE, TOTAL AS P",0.06,mg/L
C-POLES,0057,17-AUG-1995 15:10,UNK,TOTAL SUSPENDED SOLIDS,4.0,mg/L
C-POLES,0063,30-AUG-1995 10:45,UNK,"PHOSPHATE, ORTHO AS P",0.133,mg/L
C-POLES,0063,30-AUG-1995 10:45,UNK,AMMONIA-N,0.396,mg/L
C-POLES,0063,30-AUG-1995 10:45,UNK,NITRATE+NITRITE-N,0.174,mg/L
C-POLES,0063,30-AUG-1995 10:45,UNK,"PHOSPHATE, TOTAL AS P",0.159,mg/L
C-POLES,0063,30-AUG-1995 10:45,UNK,"KJELDAHL NITROGEN, TOTAL",2.862,mg/L
C-POLES,0064,30-AUG-1995 10:50,G,"PHOSPHATE, TOTAL AS P",0.05,mg/L
C-POLES,0064,30-AUG-1995 10:50,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
C-POLES,0064,30-AUG-1995 10:50,G,"KJELDAHL NITROGEN, TOTAL",1.216,mg/L
C-POLES,0064,30-AUG-1995 10:50,G,NITRATE+NITRITE-N,0.004,mg/L
C-POLES,0064,30-AUG-1995 10:50,G,TOTAL SUSPENDED SOLIDS,12.0,mg/L
C-POLES,0064,30-AUG-1995 10:50,G,AMMONIA-N,-0.01,mg/L
