Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
CSFW3,0010,25-MAY-1993 11:30,G,"SP CONDUCTIVITY, FIELD",480.0,uS/cm
CSFW3,0010,25-MAY-1993 11:30,G,Temperature,26.0,Deg C
CSFW3,0010,25-MAY-1993 11:30,G,DISSOLVED OXYGEN,8.5,mg/L
CSFW3,0010,25-MAY-1993 11:30,G,"PHOSPHATE, ORTHO AS P",0.006999999999999999,mg/L
CSFW3,0010,25-MAY-1993 11:30,G,"PHOSPHATE, TOTAL AS P",0.128,mg/L
CSFW3,0010,25-MAY-1993 11:30,G,NITRATE+NITRITE-N,-0.004,mg/L
CSFW3,0010,25-MAY-1993 11:30,G,"DEPTH, TOTAL",4.0,SDU
CSFW3,0010,25-MAY-1993 11:30,G,"KJELDAHL NITROGEN, TOTAL",2.4,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,"PH, FIELD",9.3,None
CSFW3,Z0009,22-JUL-1993 10:30,G,CHLORIDE,75.1,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,NITRITE-N,-0.004,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,Temperature,31.0,Deg C
CSFW3,Z0009,22-JUL-1993 10:30,G,NITRATE-N,-0.004,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,"PHOSPHATE, ORTHO AS P",0.004,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,"SP CONDUCTIVITY, FIELD",500.0,uS/cm
CSFW3,Z0009,22-JUL-1993 10:30,G,AMMONIA-N,-0.01,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,"PHOSPHATE, TOTAL AS P",0.048,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,"KJELDAHL NITROGEN, TOTAL",2.01,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,DISSOLVED OXYGEN,5.5,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,NITRATE+NITRITE-N,0.006,mg/L
CSFW3,Z0009,22-JUL-1993 10:30,G,COLOR,33.0,PCU
CSFW3,ZZ010,14-OCT-1993 00:00,G,"DEPTH, TOTAL",3.0,SDU
CSFW3,ZZ010,14-OCT-1993 00:00,G,Temperature,26.7,Deg C
CSFW3,ZZ010,14-OCT-1993 00:00,G,"PH, FIELD",8.48,None
CSFW3,ZZ010,14-OCT-1993 00:00,G,COLOR,27.0,PCU
CSFW3,ZZ010,14-OCT-1993 00:00,G,NITRATE+NITRITE-N,-0.004,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,NITRITE-N,-0.004,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,"SP CONDUCTIVITY, FIELD",495.0,uS/cm
CSFW3,ZZ010,14-OCT-1993 00:00,G,DISSOLVED OXYGEN,7.0,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,AMMONIA-N,-0.01,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,"KJELDAHL NITROGEN, TOTAL",1.12,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,NITRATE-N,-0.004,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,CHLORIDE,72.7,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,"PHOSPHATE, TOTAL AS P",0.034,mg/L
CSFW3,ZZ010,14-OCT-1993 00:00,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
CSFW3,ZZ09,20-JAN-1994 10:40,G,"PH, FIELD",8.39,None
CSFW3,ZZ09,20-JAN-1994 10:40,G,"PHOSPHATE, TOTAL AS P",0.046,mg/L
CSFW3,ZZ09,20-JAN-1994 10:40,G,AMMONIA-N,-0.01,mg/L
CSFW3,ZZ09,20-JAN-1994 10:40,G,Temperature,15.1,Deg C
CSFW3,ZZ09,20-JAN-1994 10:40,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
CSFW3,ZZ09,20-JAN-1994 10:40,G,"SP CONDUCTIVITY, FIELD",440.0,uS/cm
CSFW3,ZZ09,20-JAN-1994 10:40,G,"DEPTH, TOTAL",7.2,SDU
CSFW3,ZZ09,20-JAN-1994 10:40,G,NITRATE+NITRITE-N,-0.004,mg/L
CSFW3,ZZ09,20-JAN-1994 10:40,G,"KJELDAHL NITROGEN, TOTAL",1.13,mg/L
CSFW3,ZZ09,20-JAN-1994 10:40,G,DISSOLVED OXYGEN,9.8,mg/L
