Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
IP1,P3703-14,01-FEB-2000 13:30,G,COLOR,56.0,PCU
IP1,P3703-14,01-FEB-2000 13:30,G,TOTAL SUSPENDED SOLIDS,68.0,mg/L
IP1,P3703-14,01-FEB-2000 13:30,G,VOLATILE SUSPENDED SOLIDS,34.0,mg/L
IP1,P4493-14,26-APR-2000 13:15,G,TOTAL SUSPENDED SOLIDS,26.0,mg/L
IP1,P4493-14,26-APR-2000 13:15,G,VOLATILE SUSPENDED SOLIDS,15.0,mg/L
IP1,P4493-14,26-APR-2000 13:15,G,COLOR,43.0,PCU
IP1,P9828-31,16-OCT-2001 09:10,G,TOTAL SUSPENDED SOLIDS,2.4,mg/L
IP1,P9828-31,16-OCT-2001 09:10,G,COLOR,127.0,PCU
IP1,P9828-31,16-OCT-2001 09:10,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P9790-2,16-OCT-2001 10:00,G,COLOR,-1.0,PCU
IP1,P9790-2,16-OCT-2001 10:00,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P9790-2,16-OCT-2001 10:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P9790-3,16-OCT-2001 10:15,G,COLOR,123.0,PCU
IP1,P9790-3,16-OCT-2001 10:15,G,TOTAL SUSPENDED SOLIDS,3.2,mg/L
IP1,P9790-3,16-OCT-2001 10:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P10047-34,08-NOV-2001 10:30,G,COLOR,110.0,PCU
IP1,P10047-34,08-NOV-2001 10:30,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P10047-34,08-NOV-2001 10:30,G,TOTAL SUSPENDED SOLIDS,2.0,mg/L
IP1,P10568-2,10-JAN-2002 10:10,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P10568-2,10-JAN-2002 10:10,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P10568-2,10-JAN-2002 10:10,G,COLOR,-1.0,PCU
IP1,P10568-7,10-JAN-2002 10:15,G,TOTAL SUSPENDED SOLIDS,1.2,mg/L
IP1,P10568-7,10-JAN-2002 10:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P10568-7,10-JAN-2002 10:15,G,COLOR,166.0,PCU
IP1,P10568-3,10-JAN-2002 10:20,G,COLOR,165.0,PCU
IP1,P10568-3,10-JAN-2002 10:20,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P10568-3,10-JAN-2002 10:20,G,TOTAL SUSPENDED SOLIDS,1.6,mg/L
IP1,P11094-2,19-MAR-2002 09:00,G,COLOR,-1.0,PCU
IP1,P11094-2,19-MAR-2002 09:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P11094-2,19-MAR-2002 09:00,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P11094-3,19-MAR-2002 09:05,G,TOTAL SUSPENDED SOLIDS,4.0,mg/L
IP1,P11094-3,19-MAR-2002 09:05,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P11094-3,19-MAR-2002 09:05,G,COLOR,133.0,PCU
IP1,P11094-7,19-MAR-2002 10:05,G,TOTAL SUSPENDED SOLIDS,3.6,mg/L
IP1,P11094-7,19-MAR-2002 10:05,G,COLOR,131.0,PCU
IP1,P11094-7,19-MAR-2002 10:05,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P11338-2,16-APR-2002 10:10,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P11338-2,16-APR-2002 10:10,G,COLOR,-1.0,PCU
IP1,P11338-2,16-APR-2002 10:10,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P11338-1,16-APR-2002 10:20,G,COLOR,151.0,PCU
IP1,P11338-1,16-APR-2002 10:20,G,TOTAL SUSPENDED SOLIDS,29.2,mg/L
IP1,P11338-1,16-APR-2002 10:20,G,VOLATILE SUSPENDED SOLIDS,22.4,mg/L
IP1,P11338-3,16-APR-2002 10:30,G,TOTAL SUSPENDED SOLIDS,26.0,mg/L
IP1,P11338-3,16-APR-2002 10:30,G,VOLATILE SUSPENDED SOLIDS,18.4,mg/L
IP1,P11338-3,16-APR-2002 10:30,G,COLOR,152.0,PCU
IP1,P11914-1,25-JUN-2002 09:30,CDI,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P11914-1,25-JUN-2002 09:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P11914-2,25-JUN-2002 09:40,CDI,TOTAL SUSPENDED SOLIDS,39.2,mg/L
IP1,P11914-2,25-JUN-2002 09:40,CDI,VOLATILE SUSPENDED SOLIDS,24.0,mg/L
IP1,P11914-3,25-JUN-2002 09:45,CDI,TOTAL SUSPENDED SOLIDS,37.2,mg/L
IP1,P11914-3,25-JUN-2002 09:45,CDI,VOLATILE SUSPENDED SOLIDS,22.8,mg/L
IP1,P12193-1,10-JUL-2002 10:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P12193-1,10-JUL-2002 10:00,CDI,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P12193-2,10-JUL-2002 10:05,CDI,TOTAL SUSPENDED SOLIDS,6.8,mg/L
IP1,P12193-2,10-JUL-2002 10:05,CDI,VOLATILE SUSPENDED SOLIDS,5.6,mg/L
IP1,P12193-3,10-JUL-2002 10:10,CDI,VOLATILE SUSPENDED SOLIDS,5.6,mg/L
IP1,P12193-3,10-JUL-2002 10:10,CDI,TOTAL SUSPENDED SOLIDS,6.4,mg/L
IP1,P12408-1,08-AUG-2002 09:00,CDI,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP1,P12408-1,08-AUG-2002 09:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P12408-2,08-AUG-2002 09:15,CDI,TOTAL SUSPENDED SOLIDS,5.6,mg/L
IP1,P12408-2,08-AUG-2002 09:15,CDI,VOLATILE SUSPENDED SOLIDS,3.2,mg/L
IP1,P12408-3,08-AUG-2002 09:20,CDI,VOLATILE SUSPENDED SOLIDS,3.6,mg/L
IP1,P12408-3,08-AUG-2002 09:20,CDI,TOTAL SUSPENDED SOLIDS,5.6,mg/L
IP1,P12793-1,17-SEP-2002 09:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P12793-1,17-SEP-2002 09:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
IP1,P12793-2,17-SEP-2002 09:15,CDI,TOTAL SUSPENDED SOLIDS,8.0,mg/L
IP1,P12793-2,17-SEP-2002 09:15,CDI,VOLATILE SUSPENDED SOLIDS,6.2,mg/L
IP1,P12793-3,17-SEP-2002 09:20,CDI,TOTAL SUSPENDED SOLIDS,8.4,mg/L
IP1,P12793-3,17-SEP-2002 09:20,CDI,VOLATILE SUSPENDED SOLIDS,6.0,mg/L
IP1,P13900-1,09-JAN-2003 09:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P13900-1,09-JAN-2003 09:30,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
IP1,P13901-4,10-JAN-2003 11:00,CDI,TOTAL SUSPENDED SOLIDS,6.4,mg/L
IP1,P13901-4,10-JAN-2003 11:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P14766-1,02-APR-2003 11:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
IP1,P14766-1,02-APR-2003 11:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P14786-1,04-APR-2003 10:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
IP1,P14786-1,04-APR-2003 10:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P14786-2,04-APR-2003 10:20,CDI,VOLATILE SUSPENDED SOLIDS,17.0,mg/L
IP1,P14786-2,04-APR-2003 10:20,CDI,TOTAL SUSPENDED SOLIDS,25.7,mg/L
IP1,P14786-3,04-APR-2003 10:30,CDI,TOTAL SUSPENDED SOLIDS,24.1,mg/L
IP1,P14786-3,04-APR-2003 10:30,CDI,VOLATILE SUSPENDED SOLIDS,16.4,mg/L
IP1,P14836-1,14-APR-2003 09:30,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
IP1,P14836-1,14-APR-2003 09:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P15861-1,10-JUL-2003 10:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
IP1,P15861-1,10-JUL-2003 10:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP1,P15861-2,10-JUL-2003 10:05,CDI,TOTAL SUSPENDED SOLIDS,15.7,mg/L
IP1,P15861-2,10-JUL-2003 10:05,CDI,VOLATILE SUSPENDED SOLIDS,12.8,mg/L
IP1,P15861-3,10-JUL-2003 10:10,CDI,VOLATILE SUSPENDED SOLIDS,12.7,mg/L
