Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
IP2,P3703-12,01-FEB-2000 12:45,G,COLOR,54.0,PCU
IP2,P3703-12,01-FEB-2000 12:45,G,VOLATILE SUSPENDED SOLIDS,21.0,mg/L
IP2,P3703-12,01-FEB-2000 12:45,G,TOTAL SUSPENDED SOLIDS,46.0,mg/L
IP2,P4493-12,26-APR-2000 12:45,G,TOTAL SUSPENDED SOLIDS,23.0,mg/L
IP2,P4493-12,26-APR-2000 12:45,G,COLOR,39.0,PCU
IP2,P4493-12,26-APR-2000 12:45,G,VOLATILE SUSPENDED SOLIDS,12.0,mg/L
IP2,P5193-12,20-JUN-2000 11:15,G,COLOR,34.0,PCU
IP2,P5193-12,20-JUN-2000 11:15,G,TOTAL SUSPENDED SOLIDS,13.0,mg/L
IP2,P5193-12,20-JUN-2000 11:15,G,VOLATILE SUSPENDED SOLIDS,7.0,mg/L
IP2,P5438-12,17-JUL-2000 13:30,G,COLOR,59.0,PCU
IP2,P5438-12,17-JUL-2000 13:30,G,VOLATILE SUSPENDED SOLIDS,21.0,mg/L
IP2,P5438-12,17-JUL-2000 13:30,G,TOTAL SUSPENDED SOLIDS,28.0,mg/L
IP2,P6569-12,01-NOV-2000 13:40,G,TOTAL SUSPENDED SOLIDS,6.0,mg/L
IP2,P6569-12,01-NOV-2000 13:40,G,COLOR,47.0,PCU
IP2,P6569-12,01-NOV-2000 13:40,G,VOLATILE SUSPENDED SOLIDS,4.0,mg/L
IP2,P9148-2,07-AUG-2001 10:05,G,COLOR,-1.0,PCU
IP2,P9148-2,07-AUG-2001 10:05,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP2,P9148-2,07-AUG-2001 10:05,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP2,P9148-24,07-AUG-2001 10:10,G,VOLATILE SUSPENDED SOLIDS,4.8,mg/L
IP2,P9148-24,07-AUG-2001 10:10,G,COLOR,207.0,PCU
IP2,P9148-24,07-AUG-2001 10:10,G,TOTAL SUSPENDED SOLIDS,6.8,mg/L
IP2,P9524-1,13-SEP-2001 11:05,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
IP2,P9524-1,13-SEP-2001 11:05,G,COLOR,-1.0,PCU
IP2,P9524-1,13-SEP-2001 11:05,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
IP2,P9524-3,13-SEP-2001 11:10,G,VOLATILE SUSPENDED SOLIDS,6.4,mg/L
IP2,P9524-3,13-SEP-2001 11:10,G,TOTAL SUSPENDED SOLIDS,10.8,mg/L
IP2,P9524-29,13-SEP-2001 12:05,G,TOTAL SUSPENDED SOLIDS,10.0,mg/L
IP2,P9524-29,13-SEP-2001 12:05,G,COLOR,174.0,PCU
IP2,P9524-29,13-SEP-2001 12:05,G,VOLATILE SUSPENDED SOLIDS,6.8,mg/L
IP2,P9828-29,16-OCT-2001 09:02,G,TOTAL SUSPENDED SOLIDS,4.0,mg/L
IP2,P9828-29,16-OCT-2001 09:02,G,VOLATILE SUSPENDED SOLIDS,3.2,mg/L
IP2,P9828-29,16-OCT-2001 09:02,G,COLOR,113.0,PCU
IP2,P11094-1,19-MAR-2002 09:30,G,TOTAL SUSPENDED SOLIDS,8.0,mg/L
IP2,P11094-1,19-MAR-2002 09:30,G,COLOR,96.0,PCU
IP2,P11094-1,19-MAR-2002 09:30,G,VOLATILE SUSPENDED SOLIDS,3.6,mg/L
IP2,P11914-4,25-JUN-2002 09:50,CDI,TOTAL SUSPENDED SOLIDS,4.0,mg/L
IP2,P11914-4,25-JUN-2002 09:50,CDI,VOLATILE SUSPENDED SOLIDS,3.6,mg/L
IP2,P12408-4,08-AUG-2002 09:25,CDI,VOLATILE SUSPENDED SOLIDS,4.4,mg/L
IP2,P12408-4,08-AUG-2002 09:25,CDI,TOTAL SUSPENDED SOLIDS,5.6,mg/L
IP2,P12793-4,17-SEP-2002 09:30,CDI,VOLATILE SUSPENDED SOLIDS,8.8,mg/L
IP2,P12793-4,17-SEP-2002 09:30,CDI,TOTAL SUSPENDED SOLIDS,11.2,mg/L
IP2,P13901-5,10-JAN-2003 11:15,CDI,TOTAL SUSPENDED SOLIDS,6.8,mg/L
