Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
IPCANAL,0009,25-MAY-1993 10:45,G,Temperature,25.3,Deg C
IPCANAL,0009,25-MAY-1993 10:45,G,"DEPTH, TOTAL",3.0,SDU
IPCANAL,0009,25-MAY-1993 10:45,G,"PH, FIELD",7.68,None
IPCANAL,0009,25-MAY-1993 10:45,G,"SP CONDUCTIVITY, FIELD",440.0,uS/cm
IPCANAL,0009,25-MAY-1993 10:45,G,"PHOSPHATE, ORTHO AS P",0.013999999999999999,mg/L
IPCANAL,0009,25-MAY-1993 10:45,G,AMMONIA-N,-0.01,mg/L
IPCANAL,0009,25-MAY-1993 10:45,G,DISSOLVED OXYGEN,6.8,mg/L
IPCANAL,0009,25-MAY-1993 10:45,G,"PHOSPHATE, TOTAL AS P",0.092,mg/L
IPCANAL,0009,25-MAY-1993 10:45,G,NITRATE+NITRITE-N,0.023,mg/L
IPCANAL,0009,25-MAY-1993 10:45,G,"KJELDAHL NITROGEN, TOTAL",2.22,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,CHLORIDE,63.5,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,NITRATE-N,0.031,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,"PHOSPHATE, TOTAL AS P",0.043,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,"PHOSPHATE, ORTHO AS P",0.006,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,"KJELDAHL NITROGEN, TOTAL",1.3,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,AMMONIA-N,0.02,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,NITRITE-N,-0.004,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,NITRATE+NITRITE-N,0.035,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,COLOR,46.0,PCU
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,"PH, FIELD",7.86,None
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,"SP CONDUCTIVITY, FIELD",500.0,uS/cm
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,DISSOLVED OXYGEN,2.0,mg/L
IPCANAL,Z0008,22-JUL-1993 10:00,UNK,Temperature,31.0,Deg C
IPCANAL,ZZ009,14-OCT-1993 00:00,G,Temperature,26.3,Deg C
IPCANAL,ZZ009,14-OCT-1993 00:00,G,"PH, FIELD",6.88,None
IPCANAL,ZZ009,14-OCT-1993 00:00,G,NITRATE-N,-0.004,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,CHLORIDE,57.5,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,"PHOSPHATE, TOTAL AS P",0.096,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,"PHOSPHATE, ORTHO AS P",0.02,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,"KJELDAHL NITROGEN, TOTAL",1.34,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,AMMONIA-N,-0.01,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,DISSOLVED OXYGEN,5.3,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,"SP CONDUCTIVITY, FIELD",500.0,uS/cm
IPCANAL,ZZ009,14-OCT-1993 00:00,G,NITRITE-N,-0.004,mg/L
IPCANAL,ZZ009,14-OCT-1993 00:00,G,"DEPTH, TOTAL",3.5,SDU
IPCANAL,ZZ009,14-OCT-1993 00:00,G,COLOR,78.0,PCU
IPCANAL,ZZ009,14-OCT-1993 00:00,G,NITRATE+NITRITE-N,-0.004,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,"KJELDAHL NITROGEN, TOTAL",1.14,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,"PHOSPHATE, ORTHO AS P",0.005,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,Temperature,15.8,Deg C
IPCANAL,ZZ08,20-JAN-1994 10:15,G,DISSOLVED OXYGEN,8.8,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,AMMONIA-N,-0.01,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,"DEPTH, TOTAL",7.2,SDU
IPCANAL,ZZ08,20-JAN-1994 10:15,G,NITRATE+NITRITE-N,0.006999999999999999,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,"PH, FIELD",6.6,None
IPCANAL,ZZ08,20-JAN-1994 10:15,G,"PHOSPHATE, TOTAL AS P",0.044000000000000004,mg/L
IPCANAL,ZZ08,20-JAN-1994 10:15,G,"SP CONDUCTIVITY, FIELD",425.0,uS/cm
