Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
IPIN,6541,27-JUN-1988 13:45,G,DISSOLVED OXYGEN,3.1,mg/L
IPIN,6541,27-JUN-1988 13:45,G,Temperature,32.1,Deg C
IPIN,6541,27-JUN-1988 13:45,G,"PH, FIELD",6.9,None
IPIN,6541,27-JUN-1988 13:45,G,SECCHI DISK DEPTH,0.8,meters
IPIN,6541,27-JUN-1988 13:45,G,TURBIDITY,1.8,NTU
IPIN,6541,27-JUN-1988 13:45,G,COLOR,67.0,PCU
IPIN,6541,27-JUN-1988 13:45,G,NITRATE+NITRITE-N,-0.004,mg/L
IPIN,6541,27-JUN-1988 13:45,G,NITRITE-N,0.013000000000000001,mg/L
IPIN,6541,27-JUN-1988 13:45,G,AMMONIA-N,-0.01,mg/L
IPIN,6541,27-JUN-1988 13:45,G,"KJELDAHL NITROGEN, TOTAL",1.39,mg/L
IPIN,6541,27-JUN-1988 13:45,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
IPIN,6541,27-JUN-1988 13:45,G,CHLORIDE,62.0,mg/L
IPIN,6541,27-JUN-1988 13:45,G,CHLOROPHYLL-A,26.0,ug/L
IPIN,6541,27-JUN-1988 13:45,G,PHEOPHYTIN,2.5,ug/L
IPIN,6541,27-JUN-1988 13:45,G,NITRATE-N,-0.004,mg/L
IPIN,6541,27-JUN-1988 13:45,G,"ALKALINITY, TOT, CACO3",101.7,mg/L
IPIN,6541,27-JUN-1988 13:45,G,"CHLOROPHYLL-A, CORRECTED",24.0,ug/L
IPIN,6541,27-JUN-1988 13:45,G,"PHOSPHATE, TOTAL AS P",0.095,mg/L
IPIN,6541,27-JUN-1988 13:45,G,"SP CONDUCTIVITY, FIELD",463.0,uS/cm
IPIN,6615,11-JUL-1988 13:25,G,TURBIDITY,1.8,NTU
IPIN,6615,11-JUL-1988 13:25,G,Temperature,28.9,Deg C
IPIN,6615,11-JUL-1988 13:25,G,"CHLOROPHYLL-A, CORRECTED",17.8,ug/L
IPIN,6615,11-JUL-1988 13:25,G,"ALKALINITY, TOT, CACO3",86.4,mg/L
IPIN,6615,11-JUL-1988 13:25,G,NITRATE-N,-0.004,mg/L
IPIN,6615,11-JUL-1988 13:25,G,PHEOPHYTIN,1.1,ug/L
IPIN,6615,11-JUL-1988 13:25,G,CHLOROPHYLL-A,18.9,ug/L
IPIN,6615,11-JUL-1988 13:25,G,"IRON, TOTAL",140.0,ug/L
IPIN,6615,11-JUL-1988 13:25,G,HARDNESS AS CACO3,110.4,mg/L
IPIN,6615,11-JUL-1988 13:25,G,SULFATE,18.2,mg/L
IPIN,6615,11-JUL-1988 13:25,G,CHLORIDE,59.6,mg/L
IPIN,6615,11-JUL-1988 13:25,G,MAGNESIUM,9.66,mg/L
IPIN,6615,11-JUL-1988 13:25,G,CALCIUM,28.3,mg/L
IPIN,6615,11-JUL-1988 13:25,G,POTASSIUM,2.98,mg/L
IPIN,6615,11-JUL-1988 13:25,G,SODIUM,35.75,mg/L
