Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
IPOUT,6539,27-JUN-1988 13:30,G,Temperature,31.9,Deg C
IPOUT,6539,27-JUN-1988 13:30,G,"CHLOROPHYLL-A, CORRECTED",26.9,ug/L
IPOUT,6539,27-JUN-1988 13:30,G,"SP CONDUCTIVITY, FIELD",507.0,uS/cm
IPOUT,6539,27-JUN-1988 13:30,G,"PH, FIELD",8.4,None
IPOUT,6539,27-JUN-1988 13:30,G,SECCHI DISK DEPTH,0.8,meters
IPOUT,6539,27-JUN-1988 13:30,G,TURBIDITY,4.0,NTU
IPOUT,6539,27-JUN-1988 13:30,G,COLOR,46.0,PCU
IPOUT,6539,27-JUN-1988 13:30,G,NITRATE+NITRITE-N,-0.004,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,NITRITE-N,-0.004,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,AMMONIA-N,-0.01,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,"KJELDAHL NITROGEN, TOTAL",1.27,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,"PHOSPHATE, ORTHO AS P",0.01,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,"PHOSPHATE, TOTAL AS P",0.184,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,CHLORIDE,69.0,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,CHLOROPHYLL-A,29.2,ug/L
IPOUT,6539,27-JUN-1988 13:30,G,PHEOPHYTIN,2.7,ug/L
IPOUT,6539,27-JUN-1988 13:30,G,NITRATE-N,-0.004,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,"ALKALINITY, TOT, CACO3",100.3,mg/L
IPOUT,6539,27-JUN-1988 13:30,G,DISSOLVED OXYGEN,8.0,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,Temperature,30.7,Deg C
IPOUT,6613,11-JUL-1988 13:00,G,"IRON, TOTAL",150.0,ug/L
IPOUT,6613,11-JUL-1988 13:00,G,"CHLOROPHYLL-A, CORRECTED",40.6,ug/L
IPOUT,6613,11-JUL-1988 13:00,G,"ALKALINITY, TOT, CACO3",98.6,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,NITRATE-N,-0.004,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,PHEOPHYTIN,2.7,ug/L
IPOUT,6613,11-JUL-1988 13:00,G,CHLOROPHYLL-A,43.4,ug/L
IPOUT,6613,11-JUL-1988 13:00,G,HARDNESS AS CACO3,136.4,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,SULFATE,35.1,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,CHLORIDE,67.9,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,MAGNESIUM,12.16,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,CALCIUM,34.6,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,POTASSIUM,4.47,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,SODIUM,40.99,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,SILICA,9.7,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,"PHOSPHATE, TOTAL AS P",0.064,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,"KJELDAHL NITROGEN, TOTAL",1.45,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,AMMONIA-N,-0.01,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,NITRITE-N,-0.004,mg/L
IPOUT,6613,11-JUL-1988 13:00,G,DISSOLVED OXYGEN,9.6,mg/L
