Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
L019,1429,19-OCT-1974 00:00,G,COLOR,66.0,PCU
L019,1429,19-OCT-1974 00:00,G,PHEOPHYTIN,8.6,ug/L
L019,1429,19-OCT-1974 00:00,G,CAROTENOIDS,14.9,ug/L
L019,1429,19-OCT-1974 00:00,G,CHLOROPHYLL-A,28.9,ug/L
L019,1429,19-OCT-1974 00:00,G,TURBIDITY,21.0,NTU
L019,1456,06-NOV-1974 00:00,G,AMMONIA-N,-0.01,mg/L
L019,1456,06-NOV-1974 00:00,G,"KJELDAHL NITROGEN, TOTAL",1.24,mg/L
L019,1456,06-NOV-1974 00:00,G,"PHOSPHATE, ORTHO AS P",-0.01,mg/L
L019,1456,06-NOV-1974 00:00,G,"PHOSPHATE, TOTAL AS P",0.064,mg/L
L019,1456,06-NOV-1974 00:00,G,"PHOSPHATE, DISSOLVED AS P",0.07400000000000001,mg/L
L019,1456,06-NOV-1974 00:00,G,SILICA,5.2,mg/L
L019,1456,06-NOV-1974 00:00,G,SODIUM,39.0,mg/L
L019,1456,06-NOV-1974 00:00,G,POTASSIUM,3.4,mg/L
L019,1456,06-NOV-1974 00:00,G,CALCIUM,42.5,mg/L
L019,1456,06-NOV-1974 00:00,G,MAGNESIUM,14.6,mg/L
L019,1456,06-NOV-1974 00:00,G,CHLORIDE,70.3,mg/L
L019,1456,06-NOV-1974 00:00,G,SULFATE,58.6,mg/L
L019,1456,06-NOV-1974 00:00,G,"IRON, DISSOLVED",580.0,ug/L
L019,1456,06-NOV-1974 00:00,G,CHLOROPHYLL-A,31.5,ug/L
L019,1456,06-NOV-1974 00:00,G,CAROTENOIDS,13.6,ug/L
L019,1456,06-NOV-1974 00:00,G,PHEOPHYTIN,8.2,ug/L
L019,1456,06-NOV-1974 00:00,G,VOLATILE SUSPENDED SOLIDS,14.9,mg/L
L019,1456,06-NOV-1974 00:00,G,NITRATE-N,0.121,mg/L
L019,1456,06-NOV-1974 00:00,G,"ALKALINITY, TOT, CACO3",116.5,mg/L
L019,1456,06-NOV-1974 00:00,G,NITRITE-N,-0.008,mg/L
L019,1456,06-NOV-1974 00:00,G,FIXED SUSPENDED SOLIDS,20.0,mg/L
L019,1456,06-NOV-1974 00:00,G,TOTAL SUSPENDED SOLIDS,34.9,mg/L
L019,1456,06-NOV-1974 00:00,G,COLOR,45.0,PCU
L019,1456,06-NOV-1974 00:00,G,TURBIDITY,21.0,NTU
L019,1456,06-NOV-1974 00:00,G,HARDNESS AS CACO3,166.2,mg/L
L019,1456,06-NOV-1974 00:00,G,NITRATE+NITRITE-N,0.129,mg/L
L019,1501,24-NOV-1974 00:00,G,FIXED SUSPENDED SOLIDS,31.0,mg/L
L019,1501,24-NOV-1974 00:00,G,"KJELDAHL NITROGEN, TOTAL",1.27,mg/L
L019,1501,24-NOV-1974 00:00,G,"PHOSPHATE, TOTAL AS P",0.09699999999999999,mg/L
L019,1501,24-NOV-1974 00:00,G,CHLOROPHYLL-A,30.5,ug/L
L019,1501,24-NOV-1974 00:00,G,CAROTENOIDS,13.6,ug/L
L019,1501,24-NOV-1974 00:00,G,COLOR,54.0,PCU
L019,1501,24-NOV-1974 00:00,G,VOLATILE SUSPENDED SOLIDS,2.0,mg/L
L019,1501,24-NOV-1974 00:00,G,"CARBON, DISSOLVED ORGANIC",15.1,mg/L
L019,1501,24-NOV-1974 00:00,G,TURBIDITY,28.0,NTU
L019,1501,24-NOV-1974 00:00,G,TOTAL SUSPENDED SOLIDS,33.0,mg/L
L019,1501,24-NOV-1974 00:00,G,PHEOPHYTIN,7.7,ug/L
L019,1596,30-DEC-1974 00:00,G,CHLOROPHYLL-A,21.8,ug/L
L019,1596,30-DEC-1974 00:00,G,TURBIDITY,16.0,NTU
L019,1596,30-DEC-1974 00:00,G,COLOR,44.0,PCU
L019,1596,30-DEC-1974 00:00,G,"SP CONDUCTIVITY, LAB",520.0,uS/cm
L019,1596,30-DEC-1974 00:00,G,"PH, LAB",7.9,None
L019,1596,30-DEC-1974 00:00,G,TOTAL SUSPENDED SOLIDS,16.0,mg/L
L019,1596,30-DEC-1974 00:00,G,FIXED SUSPENDED SOLIDS,8.8,mg/L
L019,1596,30-DEC-1974 00:00,G,NITRATE+NITRITE-N,0.19899999999999998,mg/L
L019,1596,30-DEC-1974 00:00,G,NITRITE-N,-0.004,mg/L
L019,1596,30-DEC-1974 00:00,G,AMMONIA-N,-0.01,mg/L
L019,1596,30-DEC-1974 00:00,G,"KJELDAHL NITROGEN, TOTAL",1.19,mg/L
L019,1596,30-DEC-1974 00:00,G,"PHOSPHATE, ORTHO AS P",0.003,mg/L
L019,1596,30-DEC-1974 00:00,G,"PHOSPHATE, TOTAL AS P",0.046,mg/L
L019,1596,30-DEC-1974 00:00,G,SODIUM,48.6,mg/L
L019,1596,30-DEC-1974 00:00,G,CALCIUM,44.8,mg/L
L019,1596,30-DEC-1974 00:00,G,MAGNESIUM,14.6,mg/L
L019,1596,30-DEC-1974 00:00,G,CHLORIDE,86.2,mg/L
L019,1596,30-DEC-1974 00:00,G,HARDNESS AS CACO3,172.0,mg/L
L019,1596,30-DEC-1974 00:00,G,CAROTENOIDS,9.8,ug/L
L019,1596,30-DEC-1974 00:00,G,PHEOPHYTIN,3.1,ug/L
L019,1596,30-DEC-1974 00:00,G,VOLATILE SUSPENDED SOLIDS,7.2,mg/L
L019,1596,30-DEC-1974 00:00,G,NITRATE-N,0.195,mg/L
L019,1596,30-DEC-1974 00:00,G,"ALKALINITY, TOT, CACO3",95.5,mg/L
L019,1641,17-JAN-1975 00:00,G,CALCIUM,42.9,mg/L
L019,1641,17-JAN-1975 00:00,G,POTASSIUM,3.8,mg/L
L019,1641,17-JAN-1975 00:00,G,CHLORIDE,77.5,mg/L
L019,1641,17-JAN-1975 00:00,G,HARDNESS AS CACO3,168.0,mg/L
L019,1641,17-JAN-1975 00:00,G,"IRON, DISSOLVED",20.0,ug/L
L019,1641,17-JAN-1975 00:00,G,CHLOROPHYLL-A,21.0,ug/L
L019,1641,17-JAN-1975 00:00,G,CAROTENOIDS,12.5,ug/L
L019,1641,17-JAN-1975 00:00,G,PHEOPHYTIN,10.6,ug/L
L019,1641,17-JAN-1975 00:00,G,VOLATILE SUSPENDED SOLIDS,32.1,mg/L
L019,1641,17-JAN-1975 00:00,G,NITRATE-N,0.336,mg/L
L019,1641,17-JAN-1975 00:00,G,"ALKALINITY, TOT, CACO3",112.5,mg/L
L019,1641,17-JAN-1975 00:00,G,TURBIDITY,65.0,NTU
L019,1641,17-JAN-1975 00:00,G,COLOR,54.0,PCU
L019,1641,17-JAN-1975 00:00,G,"PH, LAB",7.7,None
L019,1641,17-JAN-1975 00:00,G,TOTAL SUSPENDED SOLIDS,77.4,mg/L
L019,1641,17-JAN-1975 00:00,G,FIXED SUSPENDED SOLIDS,45.3,mg/L
L019,1641,17-JAN-1975 00:00,G,NITRATE+NITRITE-N,0.34,mg/L
L019,1641,17-JAN-1975 00:00,G,NITRITE-N,0.004,mg/L
