Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
LZ39,3348,25-MAY-1978 11:10,G,Temperature,28.6,Deg C
LZ39,3350,25-MAY-1978 11:10,UNK,"CARBON, TOTAL ORGANIC",7.5,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"SP CONDUCTIVITY, FIELD",705.0,uS/cm
LZ39,3348,25-MAY-1978 11:10,G,"PH, FIELD",8.45,None
LZ39,3348,25-MAY-1978 11:10,G,TURBIDITY,5.7,NTU
LZ39,3348,25-MAY-1978 11:10,G,COLOR,16.0,PCU
LZ39,3348,25-MAY-1978 11:10,G,NITRATE+NITRITE-N,-0.004,mg/L
LZ39,3348,25-MAY-1978 11:10,G,NITRITE-N,-0.004,mg/L
LZ39,3348,25-MAY-1978 11:10,G,AMMONIA-N,-0.01,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"KJELDAHL NITROGEN, TOTAL",1.87,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"PHOSPHATE, ORTHO AS P",-0.002,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"PHOSPHATE, TOTAL AS P",0.044000000000000004,mg/L
LZ39,3348,25-MAY-1978 11:10,G,CHLORIDE,101.7,mg/L
LZ39,3348,25-MAY-1978 11:10,G,NITRATE-N,-0.004,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"ALKALINITY, TOT, CACO3",134.5,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"CARBON, TOTAL ORGANIC",13.4,mg/L
LZ39,3348,25-MAY-1978 11:10,G,"IRON, TOTAL",60.0,ug/L
LZ39,3349,25-MAY-1978 11:10,UNK,Temperature,28.6,Deg C
LZ39,3350,25-MAY-1978 11:10,UNK,Temperature,28.6,Deg C
LZ39,3349,25-MAY-1978 11:10,UNK,DISSOLVED OXYGEN,9.6,mg/L
LZ39,3350,25-MAY-1978 11:10,UNK,DISSOLVED OXYGEN,9.6,mg/L
LZ39,3349,25-MAY-1978 11:10,UNK,"SP CONDUCTIVITY, FIELD",705.0,uS/cm
LZ39,3350,25-MAY-1978 11:10,UNK,"SP CONDUCTIVITY, FIELD",705.0,uS/cm
LZ39,3349,25-MAY-1978 11:10,UNK,"PH, FIELD",8.45,None
LZ39,3350,25-MAY-1978 11:10,UNK,"PH, FIELD",8.45,None
LZ39,3349,25-MAY-1978 11:10,UNK,TURBIDITY,5.5,NTU
LZ39,3350,25-MAY-1978 11:10,UNK,TURBIDITY,5.4,NTU
LZ39,3349,25-MAY-1978 11:10,UNK,COLOR,12.0,PCU
LZ39,3350,25-MAY-1978 11:10,UNK,COLOR,12.0,PCU
LZ39,3349,25-MAY-1978 11:10,UNK,NITRATE+NITRITE-N,-0.004,mg/L
LZ39,3350,25-MAY-1978 11:10,UNK,NITRATE+NITRITE-N,-0.004,mg/L
LZ39,3349,25-MAY-1978 11:10,UNK,NITRITE-N,-0.004,mg/L
LZ39,3350,25-MAY-1978 11:10,UNK,NITRITE-N,-0.004,mg/L
LZ39,3349,25-MAY-1978 11:10,UNK,AMMONIA-N,-0.01,mg/L
LZ39,3350,25-MAY-1978 11:10,UNK,AMMONIA-N,-0.01,mg/L
LZ39,3349,25-MAY-1978 11:10,UNK,"KJELDAHL NITROGEN, TOTAL",1.52,mg/L
LZ39,3350,25-MAY-1978 11:10,UNK,"KJELDAHL NITROGEN, TOTAL",2.14,mg/L
LZ39,3349,25-MAY-1978 11:10,UNK,"PHOSPHATE, ORTHO AS P",-0.002,mg/L
