Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
LZ42N,9234,24-JUL-1990 13:40,G,DISSOLVED OXYGEN,10.9,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"MERCURY, TOTAL",-0.2,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,"PH, FIELD",8.52,None
LZ42N,9234,24-JUL-1990 13:40,G,SECCHI DISK DEPTH,0.5,meters
LZ42N,9234,24-JUL-1990 13:40,G,TURBIDITY,6.5,NTU
LZ42N,9234,24-JUL-1990 13:40,G,COLOR,129.0,PCU
LZ42N,9234,24-JUL-1990 13:40,G,TOTAL SUSPENDED SOLIDS,6.0,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,NITRATE+NITRITE-N,0.01,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,NITRITE-N,-0.004,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,AMMONIA-N,-0.01,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"KJELDAHL NITROGEN, TOTAL",1.53,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"PHOSPHATE, ORTHO AS P",0.005,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"PHOSPHATE, TOTAL AS P",0.066,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,SILICA,4.8,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,POTASSIUM,5.3,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,CALCIUM,31.9,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,MAGNESIUM,11.93,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,SULFATE,45.3,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,HARDNESS AS CACO3,128.8,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"IRON, TOTAL",360.0,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,CHLOROPHYLL-A,47.2,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,CHLOROPHYLL-B,-0.5,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,CAROTENOIDS,23.6,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,PHEOPHYTIN,-4.2,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,ORP,141.0,mv
LZ42N,9234,24-JUL-1990 13:40,G,NITRATE-N,0.006,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"ALKALINITY, TOT, CACO3",67.1,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,TOTAL DISSOLVED SOLIDS,267.9,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"CADMIUM, TOTAL",-0.1,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,"COPPER, TOTAL",0.66,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,"ZINC, TOTAL",-20.0,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,"ARSENIC, TOTAL",-1.0,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,"LEAD, TOTAL",-0.5,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,"CHLOROPHYLL-A, CORRECTED",48.7,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,CHLOROPHYLL-C,6.4,ug/L
LZ42N,9234,24-JUL-1990 13:40,G,Temperature,31.3,Deg C
LZ42N,9234,24-JUL-1990 13:40,G,SODIUM,35.6,mg/L
LZ42N,9234,24-JUL-1990 13:40,G,"SP CONDUCTIVITY, FIELD",412.0,uS/cm
LZ42N,9271,07-AUG-1990 12:10,G,"PH, FIELD",8.13,None
LZ42N,9271,07-AUG-1990 12:10,G,"ALKALINITY, TOT, CACO3",91.6,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,TURBIDITY,7.6,NTU
LZ42N,9271,07-AUG-1990 12:10,G,CHLOROPHYLL-C,2.2,ug/L
LZ42N,9271,07-AUG-1990 12:10,G,"CHLOROPHYLL-A, CORRECTED",22.1,ug/L
LZ42N,9271,07-AUG-1990 12:10,G,NITRATE-N,-0.004,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,PHEOPHYTIN,-0.1,ug/L
LZ42N,9271,07-AUG-1990 12:10,G,CAROTENOIDS,11.8,ug/L
LZ42N,9271,07-AUG-1990 12:10,G,CHLOROPHYLL-B,-0.4,ug/L
LZ42N,9271,07-AUG-1990 12:10,G,CHLOROPHYLL-A,22.6,ug/L
LZ42N,9271,07-AUG-1990 12:10,G,Temperature,31.6,Deg C
LZ42N,9271,07-AUG-1990 12:10,G,CHLORIDE,78.7,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,"PHOSPHATE, TOTAL AS P",0.036000000000000004,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,"PHOSPHATE, ORTHO AS P",0.005,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,"KJELDAHL NITROGEN, TOTAL",1.33,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,AMMONIA-N,-0.01,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,NITRITE-N,-0.004,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,NITRATE+NITRITE-N,-0.004,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,TOTAL SUSPENDED SOLIDS,8.0,mg/L
LZ42N,9271,07-AUG-1990 12:10,G,COLOR,50.0,PCU
LZ42N,9271,07-AUG-1990 12:10,G,SECCHI DISK DEPTH,1.0,meters
LZ42N,9271,07-AUG-1990 12:10,G,"SP CONDUCTIVITY, FIELD",549.0,uS/cm
LZ42N,9271,07-AUG-1990 12:10,G,DISSOLVED OXYGEN,7.3,mg/L
LZ42N,9306,20-AUG-1990 12:00,G,NITRITE-N,0.006999999999999999,mg/L
LZ42N,9306,20-AUG-1990 12:00,G,DISSOLVED OXYGEN,6.6,mg/L
LZ42N,9306,20-AUG-1990 12:00,G,CHLOROPHYLL-C,2.3,ug/L
LZ42N,9306,20-AUG-1990 12:00,G,"CHLOROPHYLL-A, CORRECTED",21.8,ug/L
LZ42N,9306,20-AUG-1990 12:00,G,"ALKALINITY, TOT, CACO3",94.1,mg/L
LZ42N,9306,20-AUG-1990 12:00,G,PHEOPHYTIN,-0.3,ug/L
LZ42N,9306,20-AUG-1990 12:00,G,CAROTENOIDS,12.5,ug/L
LZ42N,9306,20-AUG-1990 12:00,G,CHLOROPHYLL-B,-1.1,ug/L
LZ42N,9306,20-AUG-1990 12:00,G,CHLOROPHYLL-A,22.2,ug/L
LZ42N,9306,20-AUG-1990 12:00,G,CHLORIDE,86.5,mg/L
LZ42N,9306,20-AUG-1990 12:00,G,"PHOSPHATE, TOTAL AS P",0.033,mg/L
LZ42N,9306,20-AUG-1990 12:00,G,"PHOSPHATE, ORTHO AS P",0.005,mg/L
