Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
POLESIN,6538,27-JUN-1988 13:12,G,Temperature,29.4,Deg C
POLESIN,6538,27-JUN-1988 13:12,G,"CHLOROPHYLL-A, CORRECTED",9.3,ug/L
POLESIN,6538,27-JUN-1988 13:12,G,"SP CONDUCTIVITY, FIELD",405.0,uS/cm
POLESIN,6538,27-JUN-1988 13:12,G,"PH, FIELD",6.3,None
POLESIN,6538,27-JUN-1988 13:12,G,SECCHI DISK DEPTH,0.95,meters
POLESIN,6538,27-JUN-1988 13:12,G,TURBIDITY,1.2,NTU
POLESIN,6538,27-JUN-1988 13:12,G,COLOR,79.0,PCU
POLESIN,6538,27-JUN-1988 13:12,G,NITRATE+NITRITE-N,0.004,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,NITRITE-N,-0.004,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,AMMONIA-N,-0.01,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,"KJELDAHL NITROGEN, TOTAL",1.11,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,"PHOSPHATE, TOTAL AS P",0.07200000000000001,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,CHLORIDE,57.9,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,CHLOROPHYLL-A,9.5,ug/L
POLESIN,6538,27-JUN-1988 13:12,G,PHEOPHYTIN,0.0,ug/L
POLESIN,6538,27-JUN-1988 13:12,G,NITRATE-N,-0.004,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,"ALKALINITY, TOT, CACO3",90.3,mg/L
POLESIN,6538,27-JUN-1988 13:12,G,DISSOLVED OXYGEN,0.3,mg/L
POLESIN,6607,11-JUL-1988 12:25,G,POTASSIUM,3.87,mg/L
POLESIN,6607,11-JUL-1988 12:25,G,NITRATE-N,-0.004,mg/L
POLESIN,6607,11-JUL-1988 12:25,G,SILICA,11.3,mg/L
POLESIN,6607,11-JUL-1988 12:25,G,"PHOSPHATE, TOTAL AS P",0.07200000000000001,mg/L
POLESIN,6607,11-JUL-1988 12:25,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
POLESIN,6607,11-JUL-1988 12:25,G,"KJELDAHL NITROGEN, TOTAL",1.84,mg/L
