Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
POLESMID,6537,27-JUN-1988 13:06,G,Temperature,31.8,Deg C
POLESMID,6537,27-JUN-1988 13:06,G,"CHLOROPHYLL-A, CORRECTED",21.1,ug/L
POLESMID,6537,27-JUN-1988 13:06,G,"SP CONDUCTIVITY, FIELD",495.0,uS/cm
POLESMID,6537,27-JUN-1988 13:06,G,"PH, FIELD",7.0,None
POLESMID,6537,27-JUN-1988 13:06,G,SECCHI DISK DEPTH,0.7,meters
POLESMID,6537,27-JUN-1988 13:06,G,TURBIDITY,1.3,NTU
POLESMID,6537,27-JUN-1988 13:06,G,COLOR,47.0,PCU
POLESMID,6537,27-JUN-1988 13:06,G,NITRATE+NITRITE-N,-0.004,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,NITRITE-N,-0.004,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,AMMONIA-N,-0.01,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,"KJELDAHL NITROGEN, TOTAL",1.34,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,"PHOSPHATE, ORTHO AS P",0.004,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,"PHOSPHATE, TOTAL AS P",0.107,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,CHLORIDE,67.5,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,CHLOROPHYLL-A,24.0,ug/L
POLESMID,6537,27-JUN-1988 13:06,G,PHEOPHYTIN,4.1,ug/L
POLESMID,6537,27-JUN-1988 13:06,G,NITRATE-N,-0.004,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,"ALKALINITY, TOT, CACO3",105.1,mg/L
POLESMID,6537,27-JUN-1988 13:06,G,DISSOLVED OXYGEN,4.4,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,CALCIUM,31.7,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,"ALKALINITY, TOT, CACO3",99.8,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,SODIUM,38.64,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,SILICA,10.4,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,"PHOSPHATE, TOTAL AS P",0.07400000000000001,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,"KJELDAHL NITROGEN, TOTAL",1.41,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,AMMONIA-N,-0.01,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,NITRITE-N,-0.004,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,NITRATE+NITRITE-N,0.004,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,COLOR,48.0,PCU
POLESMID,6606,11-JUL-1988 12:15,G,TURBIDITY,4.5,NTU
POLESMID,6606,11-JUL-1988 12:15,G,SECCHI DISK DEPTH,0.8,meters
POLESMID,6606,11-JUL-1988 12:15,G,"PH, FIELD",7.1,None
POLESMID,6606,11-JUL-1988 12:15,G,"SP CONDUCTIVITY, FIELD",445.0,uS/cm
POLESMID,6606,11-JUL-1988 12:15,G,DISSOLVED OXYGEN,4.0,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,Temperature,30.5,Deg C
POLESMID,6606,11-JUL-1988 12:15,G,"CHLOROPHYLL-A, CORRECTED",37.9,ug/L
POLESMID,6606,11-JUL-1988 12:15,G,MAGNESIUM,11.03,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,CHLORIDE,63.6,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,SULFATE,25.2,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,HARDNESS AS CACO3,124.6,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,"IRON, TOTAL",130.0,ug/L
POLESMID,6606,11-JUL-1988 12:15,G,CHLOROPHYLL-A,39.8,ug/L
POLESMID,6606,11-JUL-1988 12:15,G,PHEOPHYTIN,1.5,ug/L
POLESMID,6606,11-JUL-1988 12:15,G,NITRATE-N,-0.004,mg/L
POLESMID,6606,11-JUL-1988 12:15,G,POTASSIUM,4.07,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,"ALKALINITY, TOT, CACO3",95.8,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,NITRATE-N,-0.004,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,PHEOPHYTIN,-1.3,ug/L
POLESMID,6692,26-JUL-1988 12:30,G,CHLOROPHYLL-A,40.4,ug/L
POLESMID,6692,26-JUL-1988 12:30,G,CHLORIDE,67.9,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,"PHOSPHATE, TOTAL AS P",0.078,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,"KJELDAHL NITROGEN, TOTAL",1.18,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,AMMONIA-N,-0.01,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,NITRITE-N,-0.004,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,NITRATE+NITRITE-N,-0.004,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,COLOR,38.0,PCU
POLESMID,6692,26-JUL-1988 12:30,G,TURBIDITY,3.4,NTU
POLESMID,6692,26-JUL-1988 12:30,G,SECCHI DISK DEPTH,0.9,meters
POLESMID,6692,26-JUL-1988 12:30,G,"PH, FIELD",7.6,None
POLESMID,6692,26-JUL-1988 12:30,G,DISSOLVED OXYGEN,5.8,mg/L
POLESMID,6692,26-JUL-1988 12:30,G,"CHLOROPHYLL-A, CORRECTED",40.2,ug/L
POLESMID,6692,26-JUL-1988 12:30,G,Temperature,31.1,Deg C
POLESMID,6692,26-JUL-1988 12:30,G,"SP CONDUCTIVITY, FIELD",477.0,uS/cm
POLESMID,6749,08-AUG-1988 12:30,G,Temperature,31.5,Deg C
POLESMID,6749,08-AUG-1988 12:30,G,"PHOSPHATE, TOTAL AS P",0.032,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,CHLORIDE,78.9,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,CHLOROPHYLL-A,28.9,ug/L
POLESMID,6749,08-AUG-1988 12:30,G,PHEOPHYTIN,-4.5,ug/L
POLESMID,6749,08-AUG-1988 12:30,G,NITRATE-N,-0.004,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,"ALKALINITY, TOT, CACO3",117.5,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,"CHLOROPHYLL-A, CORRECTED",30.8,ug/L
POLESMID,6749,08-AUG-1988 12:30,G,DISSOLVED OXYGEN,7.2,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,"SP CONDUCTIVITY, FIELD",523.0,uS/cm
POLESMID,6749,08-AUG-1988 12:30,G,"PH, FIELD",7.9,None
POLESMID,6749,08-AUG-1988 12:30,G,SECCHI DISK DEPTH,1.0,meters
POLESMID,6749,08-AUG-1988 12:30,G,TURBIDITY,1.7,NTU
POLESMID,6749,08-AUG-1988 12:30,G,COLOR,27.0,PCU
POLESMID,6749,08-AUG-1988 12:30,G,NITRATE+NITRITE-N,0.006999999999999999,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,NITRITE-N,-0.004,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,AMMONIA-N,-0.01,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,"KJELDAHL NITROGEN, TOTAL",1.01,mg/L
POLESMID,6749,08-AUG-1988 12:30,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,NITRATE-N,-0.004,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,PHEOPHYTIN,1.4,ug/L
POLESMID,6818,22-AUG-1988 12:08,G,"CHLOROPHYLL-A, CORRECTED",42.3,ug/L
POLESMID,6818,22-AUG-1988 12:08,G,Temperature,31.6,Deg C
POLESMID,6818,22-AUG-1988 12:08,G,DISSOLVED OXYGEN,8.2,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,"SP CONDUCTIVITY, FIELD",513.0,uS/cm
POLESMID,6818,22-AUG-1988 12:08,G,"PH, FIELD",8.1,None
POLESMID,6818,22-AUG-1988 12:08,G,SECCHI DISK DEPTH,0.7,meters
POLESMID,6818,22-AUG-1988 12:08,G,TURBIDITY,5.5,NTU
POLESMID,6818,22-AUG-1988 12:08,G,COLOR,29.0,PCU
POLESMID,6818,22-AUG-1988 12:08,G,NITRATE+NITRITE-N,-0.004,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,NITRITE-N,-0.004,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,AMMONIA-N,-0.01,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,"KJELDAHL NITROGEN, TOTAL",1.04,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,"PHOSPHATE, TOTAL AS P",0.07200000000000001,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,CHLORIDE,70.6,mg/L
POLESMID,6818,22-AUG-1988 12:08,G,CHLOROPHYLL-A,44.0,ug/L
POLESMID,6818,22-AUG-1988 12:08,G,"ALKALINITY, TOT, CACO3",99.7,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,Temperature,30.5,Deg C
POLESMID,6926,19-SEP-1988 12:25,G,"CHLOROPHYLL-A, CORRECTED",31.6,ug/L
POLESMID,6926,19-SEP-1988 12:25,G,"SP CONDUCTIVITY, FIELD",463.0,uS/cm
POLESMID,6926,19-SEP-1988 12:25,G,"PH, FIELD",7.9,None
POLESMID,6926,19-SEP-1988 12:25,G,SECCHI DISK DEPTH,0.5,meters
POLESMID,6926,19-SEP-1988 12:25,G,TURBIDITY,5.1,NTU
POLESMID,6926,19-SEP-1988 12:25,G,COLOR,58.0,PCU
POLESMID,6926,19-SEP-1988 12:25,G,NITRATE+NITRITE-N,-0.004,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,NITRITE-N,-0.004,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,AMMONIA-N,-0.01,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,"KJELDAHL NITROGEN, TOTAL",1.24,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,"PHOSPHATE, ORTHO AS P",0.009000000000000001,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,"PHOSPHATE, TOTAL AS P",0.054000000000000006,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,CHLORIDE,65.1,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,CHLOROPHYLL-A,32.7,ug/L
POLESMID,6926,19-SEP-1988 12:25,G,PHEOPHYTIN,0.7,ug/L
POLESMID,6926,19-SEP-1988 12:25,G,NITRATE-N,-0.004,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,"ALKALINITY, TOT, CACO3",86.2,mg/L
POLESMID,6926,19-SEP-1988 12:25,G,DISSOLVED OXYGEN,7.0,mg/L
POLESMID,7010,06-OCT-1988 10:57,G,NITRATE+NITRITE-N,0.024,mg/L
POLESMID,7010,06-OCT-1988 10:57,G,NITRITE-N,-0.004,mg/L
