Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
POLESOUT,6536,27-JUN-1988 13:00,G,DISSOLVED OXYGEN,7.5,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,Temperature,31.3,Deg C
POLESOUT,6536,27-JUN-1988 13:00,G,"PH, FIELD",8.3,None
POLESOUT,6536,27-JUN-1988 13:00,G,SECCHI DISK DEPTH,0.75,meters
POLESOUT,6536,27-JUN-1988 13:00,G,TURBIDITY,2.4,NTU
POLESOUT,6536,27-JUN-1988 13:00,G,COLOR,39.0,PCU
POLESOUT,6536,27-JUN-1988 13:00,G,NITRATE+NITRITE-N,-0.004,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,NITRITE-N,-0.004,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,AMMONIA-N,-0.01,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,"KJELDAHL NITROGEN, TOTAL",1.27,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,"PHOSPHATE, ORTHO AS P",0.009000000000000001,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,"PHOSPHATE, TOTAL AS P",0.09699999999999999,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,CHLORIDE,70.6,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,CHLOROPHYLL-A,16.1,ug/L
POLESOUT,6536,27-JUN-1988 13:00,G,PHEOPHYTIN,0.8,ug/L
POLESOUT,6536,27-JUN-1988 13:00,G,NITRATE-N,-0.004,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,"ALKALINITY, TOT, CACO3",103.0,mg/L
POLESOUT,6536,27-JUN-1988 13:00,G,"CHLOROPHYLL-A, CORRECTED",15.3,ug/L
POLESOUT,6536,27-JUN-1988 13:00,G,"SP CONDUCTIVITY, FIELD",522.0,uS/cm
POLESOUT,6605,11-JUL-1988 12:05,G,SILICA,10.1,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,SODIUM,40.77,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,POTASSIUM,4.49,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,CALCIUM,34.0,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,MAGNESIUM,11.96,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,CHLORIDE,67.3,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,SULFATE,33.6,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,HARDNESS AS CACO3,134.1,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,"IRON, TOTAL",150.0,ug/L
POLESOUT,6605,11-JUL-1988 12:05,G,CHLOROPHYLL-A,69.0,ug/L
POLESOUT,6605,11-JUL-1988 12:05,G,PHEOPHYTIN,0.7,ug/L
POLESOUT,6605,11-JUL-1988 12:05,G,NITRATE-N,-0.004,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,"ALKALINITY, TOT, CACO3",97.5,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,"CHLOROPHYLL-A, CORRECTED",66.8,ug/L
POLESOUT,6605,11-JUL-1988 12:05,G,"SP CONDUCTIVITY, FIELD",477.0,uS/cm
POLESOUT,6605,11-JUL-1988 12:05,G,"PH, FIELD",8.5,None
POLESOUT,6605,11-JUL-1988 12:05,G,SECCHI DISK DEPTH,0.65,meters
POLESOUT,6605,11-JUL-1988 12:05,G,DISSOLVED OXYGEN,9.0,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,Temperature,30.5,Deg C
POLESOUT,6605,11-JUL-1988 12:05,G,TURBIDITY,8.2,NTU
POLESOUT,6605,11-JUL-1988 12:05,G,COLOR,44.0,PCU
POLESOUT,6605,11-JUL-1988 12:05,G,NITRATE+NITRITE-N,0.004,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,NITRITE-N,-0.004,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,AMMONIA-N,-0.01,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,"KJELDAHL NITROGEN, TOTAL",1.83,mg/L
POLESOUT,6605,11-JUL-1988 12:05,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
