Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,"ALKALINITY, TOT, CACO3",126.0,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,SECCHI DISK DEPTH,0.1,meters
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,CHLORIDE,45.8,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,COLOR,29.0,PCU
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,"SP CONDUCTIVITY, FIELD",402.0,uS/cm
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,CHLOROPHYLL-A(LC),21.4,ug/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,DISSOLVED OXYGEN,8.98,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,HARDNESS AS CACO3,134.7,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,POTASSIUM,5.1,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,MAGNESIUM,9.0,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,SODIUM,26.0,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,AMMONIA-N,0.015,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,NITRITE-N,-0.002,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,NITRATE+NITRITE-N,0.18,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,"PHOSPHATE, ORTHO AS P",0.028999999999999998,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,"PH, FIELD",8.1,None
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,PHEOPHYTIN-A(LC),-0.72,ug/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,SILICA,7.19,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,SULFATE,25.1,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,Temperature,19.7,Deg C
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,TOTAL NITROGEN,1.9,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,"PHOSPHATE, TOTAL AS P",0.245,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,TOTAL SUSPENDED SOLIDS,95.0,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,TURBIDITY,116.0,NTU
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,VOLATILE SUSPENDED SOLIDS,23.0,mg/L
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,"DEPTH, TOTAL",2.8,SDU
POLESOUT2,P115503-13,10-MAR-2020 13:23,G,CALCIUM,39.1,mg/L
POLESOUT2,P116186-13,07-APR-2020 13:08,G,"DEPTH, TOTAL",2.5,SDU
POLESOUT2,P116186-13,07-APR-2020 13:08,G,VOLATILE SUSPENDED SOLIDS,8.0,mg/L
POLESOUT2,P116186-13,07-APR-2020 13:08,G,"ALKALINITY, TOT, CACO3",110.0,mg/L
POLESOUT2,P116186-13,07-APR-2020 13:08,G,CALCIUM,42.0,mg/L
POLESOUT2,P116186-13,07-APR-2020 13:08,G,CHLORIDE,47.8,mg/L
POLESOUT2,P116186-13,07-APR-2020 13:08,G,COLOR,27.0,PCU
POLESOUT2,P116186-13,07-APR-2020 13:08,G,"SP CONDUCTIVITY, FIELD",427.0,uS/cm
POLESOUT2,P116186-13,07-APR-2020 13:08,G,CHLOROPHYLL-A(LC),12.2,ug/L
POLESOUT2,P116186-13,07-APR-2020 13:08,G,DISSOLVED OXYGEN,8.27,mg/L
