Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,"DEPTH, TOTAL",3.0,SDU
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,VOLATILE SUSPENDED SOLIDS,27.0,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,"ALKALINITY, TOT, CACO3",132.0,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,CALCIUM,39.0,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,CHLORIDE,45.5,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,COLOR,28.0,PCU
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,"SP CONDUCTIVITY, FIELD",408.0,uS/cm
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,CHLOROPHYLL-A(LC),8.03,ug/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,DISSOLVED OXYGEN,9.33,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,HARDNESS AS CACO3,133.8,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,POTASSIUM,5.2,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,MAGNESIUM,8.8,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,SODIUM,26.1,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,AMMONIA-N,0.013000000000000001,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,NITRITE-N,-0.002,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,NITRATE+NITRITE-N,0.322,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,"PHOSPHATE, ORTHO AS P",0.055,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,"PH, FIELD",8.2,None
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,PHEOPHYTIN-A(LC),-0.48,ug/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,SILICA,8.58,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,SULFATE,25.2,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,Temperature,19.4,Deg C
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,TOTAL NITROGEN,1.88,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,"PHOSPHATE, TOTAL AS P",0.27699999999999997,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,TOTAL SUSPENDED SOLIDS,101.0,mg/L
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,TURBIDITY,135.0,NTU
POLESOUT3,P115503-12,10-MAR-2020 13:04,G,SECCHI DISK DEPTH,0.1,meters
POLESOUT3,P116186-12,07-APR-2020 12:50,G,"DEPTH, TOTAL",2.6,SDU
POLESOUT3,P116186-12,07-APR-2020 12:50,G,VOLATILE SUSPENDED SOLIDS,-8.0,mg/L
POLESOUT3,P116186-12,07-APR-2020 12:50,G,"ALKALINITY, TOT, CACO3",114.0,mg/L
POLESOUT3,P116186-12,07-APR-2020 12:50,G,CALCIUM,40.4,mg/L
POLESOUT3,P116186-12,07-APR-2020 12:50,G,CHLORIDE,47.2,mg/L
POLESOUT3,P116186-12,07-APR-2020 12:50,G,COLOR,26.0,PCU
POLESOUT3,P116186-12,07-APR-2020 12:50,G,"SP CONDUCTIVITY, FIELD",411.0,uS/cm
POLESOUT3,P116186-12,07-APR-2020 12:50,G,CHLOROPHYLL-A(LC),18.3,ug/L
POLESOUT3,P116186-12,07-APR-2020 12:50,G,DISSOLVED OXYGEN,8.51,mg/L
