Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
SAV-26,P3703-13,01-FEB-2000 13:00,G,VOLATILE SUSPENDED SOLIDS,21.0,mg/L
SAV-26,P3703-13,01-FEB-2000 13:00,G,COLOR,56.0,PCU
SAV-26,P3703-13,01-FEB-2000 13:00,G,TOTAL SUSPENDED SOLIDS,45.0,mg/L
SAV-26,P4493-13,26-APR-2000 13:00,G,COLOR,42.0,PCU
SAV-26,P4493-13,26-APR-2000 13:00,G,VOLATILE SUSPENDED SOLIDS,12.0,mg/L
SAV-26,P4493-13,26-APR-2000 13:00,G,TOTAL SUSPENDED SOLIDS,26.0,mg/L
SAV-26,P5438-13,17-JUL-2000 13:40,G,NO BOTTLE SAMPLE,0.0,Units
SAV-26,P9828-30,16-OCT-2001 09:05,G,COLOR,122.0,PCU
SAV-26,P9828-30,16-OCT-2001 09:05,G,TOTAL SUSPENDED SOLIDS,1.6,mg/L
SAV-26,P9828-30,16-OCT-2001 09:05,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
SAV-26,P11094-5,19-MAR-2002 09:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
SAV-26,P11094-5,19-MAR-2002 09:15,G,COLOR,87.0,PCU
SAV-26,P11094-5,19-MAR-2002 09:15,G,TOTAL SUSPENDED SOLIDS,6.0,mg/L
