Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
STAKEIN,5243,17-NOV-1986 13:15,G,"CHLOROPHYLL-A, CORRECTED",3.6,ug/L
STAKEIN,5243,17-NOV-1986 13:15,G,CHLOROPHYLL-C,4.0,ug/L
STAKEIN,5243,17-NOV-1986 13:15,G,NITRATE-N,-0.004,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,PHEOPHYTIN,1.5,ug/L
STAKEIN,5243,17-NOV-1986 13:15,G,CAROTENOIDS,2.5,ug/L
STAKEIN,5243,17-NOV-1986 13:15,G,CHLOROPHYLL-B,1.5,ug/L
STAKEIN,5243,17-NOV-1986 13:15,G,CHLOROPHYLL-A,4.5,ug/L
STAKEIN,5243,17-NOV-1986 13:15,G,CHLORIDE,86.7,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,"PHOSPHATE, TOTAL AS P",0.013000000000000001,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,"KJELDAHL NITROGEN, TOTAL",1.6,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,AMMONIA-N,-0.01,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,NITRITE-N,0.005,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,COLOR,62.0,PCU
STAKEIN,5243,17-NOV-1986 13:15,G,TURBIDITY,0.7,NTU
STAKEIN,5243,17-NOV-1986 13:15,G,SECCHI DISK DEPTH,1.0,meters
STAKEIN,5243,17-NOV-1986 13:15,G,"PH, FIELD",7.5,None
STAKEIN,5243,17-NOV-1986 13:15,G,"SP CONDUCTIVITY, FIELD",607.0,uS/cm
STAKEIN,5243,17-NOV-1986 13:15,G,DISSOLVED OXYGEN,7.2,mg/L
STAKEIN,5243,17-NOV-1986 13:15,G,Temperature,27.4,Deg C
STAKEIN,5243,17-NOV-1986 13:15,G,"ALKALINITY, TOT, CACO3",148.6,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,CHLOROPHYLL-C,1.1,ug/L
STAKEIN,5285,10-DEC-1986 10:20,G,"CHLOROPHYLL-A, CORRECTED",7.8,ug/L
STAKEIN,5285,10-DEC-1986 10:20,G,"ALKALINITY, TOT, CACO3",154.0,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,PHEOPHYTIN,0.4,ug/L
STAKEIN,5285,10-DEC-1986 10:20,G,CAROTENOIDS,4.5,ug/L
STAKEIN,5285,10-DEC-1986 10:20,G,CHLOROPHYLL-B,0.7,ug/L
STAKEIN,5285,10-DEC-1986 10:20,G,CHLOROPHYLL-A,8.2,ug/L
STAKEIN,5285,10-DEC-1986 10:20,G,CHLORIDE,91.5,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,"PHOSPHATE, TOTAL AS P",0.011000000000000001,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,"KJELDAHL NITROGEN, TOTAL",1.72,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,AMMONIA-N,0.05,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,NITRITE-N,0.008,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,NITRATE+NITRITE-N,0.004,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,COLOR,62.0,PCU
STAKEIN,5285,10-DEC-1986 10:20,G,TURBIDITY,1.2,NTU
STAKEIN,5285,10-DEC-1986 10:20,G,SECCHI DISK DEPTH,1.0,meters
STAKEIN,5285,10-DEC-1986 10:20,G,"PH, FIELD",7.68,None
STAKEIN,5285,10-DEC-1986 10:20,G,"SP CONDUCTIVITY, FIELD",658.0,uS/cm
STAKEIN,5285,10-DEC-1986 10:20,G,DISSOLVED OXYGEN,6.1,mg/L
STAKEIN,5285,10-DEC-1986 10:20,G,Temperature,23.3,Deg C
STAKEIN,5342,03-FEB-1987 15:49,G,SECCHI DISK DEPTH,1.2,meters
STAKEIN,5342,03-FEB-1987 15:49,G,Temperature,20.4,Deg C
STAKEIN,5342,03-FEB-1987 15:49,G,COLOR,36.0,PCU
STAKEIN,5342,03-FEB-1987 15:49,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,NITRITE-N,-0.004,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,AMMONIA-N,0.02,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,"KJELDAHL NITROGEN, TOTAL",1.45,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,"PHOSPHATE, TOTAL AS P",0.012,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,CHLORIDE,92.2,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,CHLOROPHYLL-A,2.7,ug/L
STAKEIN,5342,03-FEB-1987 15:49,G,PHEOPHYTIN,0.9,ug/L
STAKEIN,5342,03-FEB-1987 15:49,G,NITRATE-N,-0.004,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,"ALKALINITY, TOT, CACO3",118.8,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,"CHLOROPHYLL-A, CORRECTED",2.2,ug/L
STAKEIN,5342,03-FEB-1987 15:49,G,DISSOLVED OXYGEN,9.1,mg/L
STAKEIN,5342,03-FEB-1987 15:49,G,"SP CONDUCTIVITY, FIELD",594.0,uS/cm
STAKEIN,5342,03-FEB-1987 15:49,G,"PH, FIELD",7.9,None
STAKEIN,5342,03-FEB-1987 15:49,G,TURBIDITY,0.8,NTU
STAKEIN,5403,02-APR-1987 13:56,G,"CHLOROPHYLL-A, CORRECTED",2.3,ug/L
STAKEIN,5403,02-APR-1987 13:56,G,"PHOSPHATE, TOTAL AS P",0.015,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,NITRATE-N,-0.004,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,PHEOPHYTIN,-0.2,ug/L
STAKEIN,5403,02-APR-1987 13:56,G,Temperature,20.8,Deg C
STAKEIN,5403,02-APR-1987 13:56,G,CHLOROPHYLL-A,2.2,ug/L
STAKEIN,5403,02-APR-1987 13:56,G,CHLORIDE,79.0,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,"KJELDAHL NITROGEN, TOTAL",1.17,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,AMMONIA-N,-0.01,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,NITRITE-N,-0.004,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,COLOR,39.0,PCU
STAKEIN,5403,02-APR-1987 13:56,G,TURBIDITY,0.5,NTU
STAKEIN,5403,02-APR-1987 13:56,G,SECCHI DISK DEPTH,1.2,meters
STAKEIN,5403,02-APR-1987 13:56,G,"PH, FIELD",7.7,None
STAKEIN,5403,02-APR-1987 13:56,G,"SP CONDUCTIVITY, FIELD",596.0,uS/cm
STAKEIN,5403,02-APR-1987 13:56,G,DISSOLVED OXYGEN,7.4,mg/L
STAKEIN,5403,02-APR-1987 13:56,G,"ALKALINITY, TOT, CACO3",117.5,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,"PH, FIELD",7.5,None
STAKEIN,5442,21-APR-1987 15:30,G,"SP CONDUCTIVITY, FIELD",627.0,uS/cm
STAKEIN,5442,21-APR-1987 15:30,G,DISSOLVED OXYGEN,7.3,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,Temperature,24.8,Deg C
STAKEIN,5442,21-APR-1987 15:30,G,"CHLOROPHYLL-A, CORRECTED",1.9,ug/L
STAKEIN,5442,21-APR-1987 15:30,G,"ALKALINITY, TOT, CACO3",129.6,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,NITRATE-N,-0.004,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,PHEOPHYTIN,0.2,ug/L
STAKEIN,5442,21-APR-1987 15:30,G,CHLOROPHYLL-A,2.1,ug/L
STAKEIN,5442,21-APR-1987 15:30,G,CHLORIDE,85.9,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,"PHOSPHATE, TOTAL AS P",0.013000000000000001,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,"KJELDAHL NITROGEN, TOTAL",1.65,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,AMMONIA-N,-0.01,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,NITRITE-N,-0.004,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEIN,5442,21-APR-1987 15:30,G,COLOR,34.0,PCU
STAKEIN,5442,21-APR-1987 15:30,G,SECCHI DISK DEPTH,1.4,meters
STAKEIN,5442,21-APR-1987 15:30,G,TURBIDITY,0.7,NTU
STAKEIN,5469,05-MAY-1987 13:20,G,DISSOLVED OXYGEN,8.7,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,Temperature,27.6,Deg C
STAKEIN,5469,05-MAY-1987 13:20,G,"PH, FIELD",7.3,None
STAKEIN,5469,05-MAY-1987 13:20,G,SECCHI DISK DEPTH,1.15,meters
STAKEIN,5469,05-MAY-1987 13:20,G,TURBIDITY,0.7,NTU
STAKEIN,5469,05-MAY-1987 13:20,G,COLOR,41.0,PCU
STAKEIN,5469,05-MAY-1987 13:20,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,NITRITE-N,-0.004,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,AMMONIA-N,-0.01,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,"KJELDAHL NITROGEN, TOTAL",1.54,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,"PHOSPHATE, ORTHO AS P",0.004,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,"PHOSPHATE, TOTAL AS P",0.016,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,CHLORIDE,90.3,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,CHLOROPHYLL-A,2.3,ug/L
STAKEIN,5469,05-MAY-1987 13:20,G,PHEOPHYTIN,-0.3,ug/L
STAKEIN,5469,05-MAY-1987 13:20,G,NITRATE-N,-0.004,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,"ALKALINITY, TOT, CACO3",128.4,mg/L
STAKEIN,5469,05-MAY-1987 13:20,G,"CHLOROPHYLL-A, CORRECTED",2.4,ug/L
STAKEIN,5469,05-MAY-1987 13:20,G,"SP CONDUCTIVITY, FIELD",643.0,uS/cm
STAKEIN,5519,20-MAY-1987 14:45,G,Temperature,29.0,Deg C
STAKEIN,5519,20-MAY-1987 14:45,G,CHLORIDE,87.1,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,"SP CONDUCTIVITY, FIELD",603.0,uS/cm
STAKEIN,5519,20-MAY-1987 14:45,G,"PH, FIELD",7.0,None
STAKEIN,5519,20-MAY-1987 14:45,G,SECCHI DISK DEPTH,1.3,meters
STAKEIN,5519,20-MAY-1987 14:45,G,TURBIDITY,1.2,NTU
STAKEIN,5519,20-MAY-1987 14:45,G,COLOR,41.0,PCU
STAKEIN,5519,20-MAY-1987 14:45,G,NITRATE+NITRITE-N,0.009000000000000001,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,NITRITE-N,-0.004,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,AMMONIA-N,-0.01,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,"KJELDAHL NITROGEN, TOTAL",1.41,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,"PHOSPHATE, TOTAL AS P",0.013000000000000001,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,CHLOROPHYLL-A,2.0,ug/L
STAKEIN,5519,20-MAY-1987 14:45,G,PHEOPHYTIN,0.0,ug/L
STAKEIN,5519,20-MAY-1987 14:45,G,NITRATE-N,0.005,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,"ALKALINITY, TOT, CACO3",114.6,mg/L
STAKEIN,5519,20-MAY-1987 14:45,G,"CHLOROPHYLL-A, CORRECTED",2.0,ug/L
STAKEIN,5542,02-JUN-1987 14:00,G,CHLOROPHYLL-A,2.9,ug/L
STAKEIN,5542,02-JUN-1987 14:00,G,PHEOPHYTIN,0.3,ug/L
