Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
STAKEMID,5242,17-NOV-1986 13:08,G,CHLOROPHYLL-C,6.1,ug/L
STAKEMID,5242,17-NOV-1986 13:08,G,COLOR,40.0,PCU
STAKEMID,5242,17-NOV-1986 13:08,G,"ALKALINITY, TOT, CACO3",117.2,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,NITRATE-N,-0.004,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,PHEOPHYTIN,2.5,ug/L
STAKEMID,5242,17-NOV-1986 13:08,G,CAROTENOIDS,6.0,ug/L
STAKEMID,5242,17-NOV-1986 13:08,G,CHLOROPHYLL-B,1.9,ug/L
STAKEMID,5242,17-NOV-1986 13:08,G,CHLOROPHYLL-A,11.8,ug/L
STAKEMID,5242,17-NOV-1986 13:08,G,CHLORIDE,78.8,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,"PHOSPHATE, TOTAL AS P",0.026000000000000002,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,"KJELDAHL NITROGEN, TOTAL",1.45,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,AMMONIA-N,-0.01,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,NITRITE-N,-0.004,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,TURBIDITY,1.2,NTU
STAKEMID,5242,17-NOV-1986 13:08,G,SECCHI DISK DEPTH,1.3,meters
STAKEMID,5242,17-NOV-1986 13:08,G,"PH, FIELD",7.5,None
STAKEMID,5242,17-NOV-1986 13:08,G,"SP CONDUCTIVITY, FIELD",576.0,uS/cm
STAKEMID,5242,17-NOV-1986 13:08,G,DISSOLVED OXYGEN,8.0,mg/L
STAKEMID,5242,17-NOV-1986 13:08,G,Temperature,27.3,Deg C
STAKEMID,5242,17-NOV-1986 13:08,G,"CHLOROPHYLL-A, CORRECTED",10.2,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,CHLOROPHYLL-C,3.7,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,"CHLOROPHYLL-A, CORRECTED",6.8,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,"ALKALINITY, TOT, CACO3",119.7,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,NITRATE-N,-0.004,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,PHEOPHYTIN,1.8,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,CAROTENOIDS,3.8,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,CHLOROPHYLL-B,1.3,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,CHLOROPHYLL-A,7.9,ug/L
STAKEMID,5284,10-DEC-1986 10:10,G,CHLORIDE,82.8,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,"PHOSPHATE, TOTAL AS P",0.025,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,"KJELDAHL NITROGEN, TOTAL",1.52,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,AMMONIA-N,-0.01,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,NITRITE-N,0.008,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,COLOR,39.0,PCU
STAKEMID,5284,10-DEC-1986 10:10,G,TURBIDITY,2.7,NTU
STAKEMID,5284,10-DEC-1986 10:10,G,SECCHI DISK DEPTH,1.0,meters
STAKEMID,5284,10-DEC-1986 10:10,G,"PH, FIELD",7.99,None
STAKEMID,5284,10-DEC-1986 10:10,G,"SP CONDUCTIVITY, FIELD",613.0,uS/cm
STAKEMID,5284,10-DEC-1986 10:10,G,DISSOLVED OXYGEN,6.6,mg/L
STAKEMID,5284,10-DEC-1986 10:10,G,Temperature,23.5,Deg C
STAKEMID,5341,03-FEB-1987 15:39,G,Temperature,20.8,Deg C
STAKEMID,5341,03-FEB-1987 15:39,G,"CHLOROPHYLL-A, CORRECTED",18.9,ug/L
STAKEMID,5341,03-FEB-1987 15:39,G,"SP CONDUCTIVITY, FIELD",586.0,uS/cm
STAKEMID,5341,03-FEB-1987 15:39,G,"PH, FIELD",8.3,None
STAKEMID,5341,03-FEB-1987 15:39,G,SECCHI DISK DEPTH,0.9,meters
STAKEMID,5341,03-FEB-1987 15:39,G,TURBIDITY,3.5,NTU
STAKEMID,5341,03-FEB-1987 15:39,G,COLOR,37.0,PCU
STAKEMID,5341,03-FEB-1987 15:39,G,NITRATE+NITRITE-N,-0.004,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,NITRITE-N,-0.004,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,AMMONIA-N,-0.01,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,"KJELDAHL NITROGEN, TOTAL",1.63,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,"PHOSPHATE, TOTAL AS P",0.042,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,CHLORIDE,81.3,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,CHLOROPHYLL-A,19.8,ug/L
STAKEMID,5341,03-FEB-1987 15:39,G,PHEOPHYTIN,1.1,ug/L
STAKEMID,5341,03-FEB-1987 15:39,G,NITRATE-N,-0.004,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,"ALKALINITY, TOT, CACO3",106.8,mg/L
STAKEMID,5341,03-FEB-1987 15:39,G,DISSOLVED OXYGEN,8.2,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,DISSOLVED OXYGEN,9.6,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,Temperature,21.5,Deg C
STAKEMID,5402,02-APR-1987 13:49,G,"CHLOROPHYLL-A, CORRECTED",13.2,ug/L
STAKEMID,5402,02-APR-1987 13:49,G,"ALKALINITY, TOT, CACO3",113.4,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,NITRATE-N,-0.004,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,PHEOPHYTIN,0.1,ug/L
STAKEMID,5402,02-APR-1987 13:49,G,CHLOROPHYLL-A,13.6,ug/L
STAKEMID,5402,02-APR-1987 13:49,G,CHLORIDE,82.7,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,"PHOSPHATE, TOTAL AS P",0.034,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,"KJELDAHL NITROGEN, TOTAL",1.21,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,AMMONIA-N,0.01,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,NITRITE-N,-0.004,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,NITRATE+NITRITE-N,0.006999999999999999,mg/L
STAKEMID,5402,02-APR-1987 13:49,G,COLOR,30.0,PCU
STAKEMID,5402,02-APR-1987 13:49,G,TURBIDITY,1.6,NTU
STAKEMID,5402,02-APR-1987 13:49,G,SECCHI DISK DEPTH,1.1,meters
STAKEMID,5402,02-APR-1987 13:49,G,"PH, FIELD",8.5,None
STAKEMID,5402,02-APR-1987 13:49,G,"SP CONDUCTIVITY, FIELD",608.0,uS/cm
STAKEMID,5441,21-APR-1987 15:20,G,NITRATE-N,-0.004,mg/L
