Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
TIN8100,0005,17-JAN-1996 09:40,G,CHLOROPHYLL-A,8.2,ug/L
TIN8100,0005,17-JAN-1996 09:40,G,"DEPTH, TOTAL",0.8,SDU
TIN8100,0005,17-JAN-1996 09:40,G,"PH, FIELD",7.05,None
TIN8100,0005,17-JAN-1996 09:40,G,"SP CONDUCTIVITY, FIELD",530.0,uS/cm
TIN8100,0005,17-JAN-1996 09:40,G,Temperature,14.53,Deg C
TIN8100,0005,17-JAN-1996 09:40,G,VOLATILE SUSPENDED SOLIDS,-2.0,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,NITRATE-N,0.006999999999999999,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"CHLOROPHYLL-A, CORRECTED",7.1,ug/L
TIN8100,0005,17-JAN-1996 09:40,G,CHLOROPHYLL-C,-1.0,ug/L
TIN8100,0005,17-JAN-1996 09:40,G,CAROTENOIDS,3.0,ug/L
TIN8100,0005,17-JAN-1996 09:40,G,MAGNESIUM,12.17,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"KJELDAHL NITROGEN, DIS",1.1059999999999999,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,AMMONIA-N,0.023,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,COLOR,33.0,PCU
TIN8100,0005,17-JAN-1996 09:40,G,TURBIDITY,0.537,NTU
TIN8100,0005,17-JAN-1996 09:40,G,SECCHI DISK DEPTH,0.8,meters
TIN8100,0005,17-JAN-1996 09:40,G,CHLORIDE,103.365,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"ALKALINITY, TOT, CACO3",119.2,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"PHOSPHATE, DISSOLVED AS P",-0.004,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"PHOSPHATE, TOTAL AS P",0.011000000000000001,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,NITRATE+NITRITE-N,0.011000000000000001,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,HARDNESS AS CACO3,153.0,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,CHLOROPHYLL-B,-1.0,ug/L
TIN8100,0005,17-JAN-1996 09:40,G,PHEOPHYTIN,1.5,ug/L
TIN8100,0005,17-JAN-1996 09:40,G,CALCIUM,41.02,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,POTASSIUM,3.91,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,SODIUM,54.72,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,NITRITE-N,0.004,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,DISSOLVED OXYGEN,3.16,mg/L
TIN8100,0005,17-JAN-1996 09:40,G,"KJELDAHL NITROGEN, TOTAL",1.2309999999999999,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,CHLOROPHYLL-B,-1.0,ug/L
TIN8100,0017,13-FEB-1996 09:49,G,SODIUM,66.02,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,Temperature,13.03,Deg C
TIN8100,0017,13-FEB-1996 09:49,G,DISSOLVED OXYGEN,2.86,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"KJELDAHL NITROGEN, TOTAL",1.48,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"KJELDAHL NITROGEN, DIS",1.103,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,VOLATILE SUSPENDED SOLIDS,-2.0,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,NITRATE-N,0.006999999999999999,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"PH, FIELD",7.28,None
TIN8100,0017,13-FEB-1996 09:49,G,"CHLOROPHYLL-A, CORRECTED",2.2,ug/L
TIN8100,0017,13-FEB-1996 09:49,G,CHLOROPHYLL-C,-1.0,ug/L
TIN8100,0017,13-FEB-1996 09:49,G,NITRITE-N,-0.004,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,AMMONIA-N,-0.01,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,CHLOROPHYLL-A,2.1,ug/L
TIN8100,0017,13-FEB-1996 09:49,G,CAROTENOIDS,-1.0,ug/L
TIN8100,0017,13-FEB-1996 09:49,G,PHEOPHYTIN,-1.0,ug/L
TIN8100,0017,13-FEB-1996 09:49,G,"ALKALINITY, TOT, CACO3",117.7,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"SP CONDUCTIVITY, FIELD",614.0,uS/cm
TIN8100,0017,13-FEB-1996 09:49,G,TURBIDITY,0.428,NTU
TIN8100,0017,13-FEB-1996 09:49,G,COLOR,30.0,PCU
TIN8100,0017,13-FEB-1996 09:49,G,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,NITRATE+NITRITE-N,0.011000000000000001,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,SECCHI DISK DEPTH,0.65,meters
TIN8100,0017,13-FEB-1996 09:49,G,CALCIUM,44.16,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,MAGNESIUM,12.47,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,CHLORIDE,122.259,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"PHOSPHATE, DISSOLVED AS P",0.006999999999999999,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,"PHOSPHATE, TOTAL AS P",0.005,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,HARDNESS AS CACO3,162.0,mg/L
TIN8100,0017,13-FEB-1996 09:49,G,POTASSIUM,4.83,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"CHLOROPHYLL-A, CORRECTED",-1.0,ug/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"ALKALINITY, TOT, CACO3",1.7380000000000002,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,CALCIUM,0.07,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,HARDNESS AS CACO3,-1.0,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,CHLORIDE,-0.5,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,CHLOROPHYLL-B,-1.0,ug/L
TIN8100,0016,13-FEB-1996 15:15,UNK,CHLOROPHYLL-A,-1.0,ug/L
TIN8100,0016,13-FEB-1996 15:15,UNK,CAROTENOIDS,-1.0,ug/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"PHOSPHATE, ORTHO AS P",-0.004,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"PHOSPHATE, DISSOLVED AS P",0.006,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"PHOSPHATE, TOTAL AS P",0.004,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,POTASSIUM,0.01,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,SODIUM,0.06,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,NITRATE+NITRITE-N,-0.004,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,AMMONIA-N,-0.01,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,NITRITE-N,-0.004,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"KJELDAHL NITROGEN, DIS",-0.5,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,"KJELDAHL NITROGEN, TOTAL",-0.5,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,TURBIDITY,-0.1,NTU
TIN8100,0016,13-FEB-1996 15:15,UNK,COLOR,1.0,PCU
TIN8100,0016,13-FEB-1996 15:15,UNK,PHEOPHYTIN,-1.0,ug/L
TIN8100,0016,13-FEB-1996 15:15,UNK,NITRATE-N,-0.004,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,VOLATILE SUSPENDED SOLIDS,-2.0,mg/L
TIN8100,0016,13-FEB-1996 15:15,UNK,CHLOROPHYLL-C,-1.0,ug/L
TIN8100,0016,13-FEB-1996 15:15,UNK,MAGNESIUM,-0.01,mg/L
TIN8100,0030,13-MAR-1996 09:30,UNK,TURBIDITY,0.15,NTU
TIN8100,0030,13-MAR-1996 09:30,UNK,PHEOPHYTIN,-1.0,ug/L
