Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
TINHOUSE1,P3612-3,31-JAN-2000 10:15,G,VOLATILE SUSPENDED SOLIDS,14.0,mg/L
TINHOUSE1,P3612-3,31-JAN-2000 10:15,G,TOTAL SUSPENDED SOLIDS,29.0,mg/L
TINHOUSE1,P3612-3,31-JAN-2000 10:15,G,COLOR,50.0,PCU
TINHOUSE1,P4494-2,28-APR-2000 09:55,G,COLOR,1.0,PCU
TINHOUSE1,P4494-2,28-APR-2000 09:55,G,TOTAL SUSPENDED SOLIDS,3.0,mg/L
TINHOUSE1,P4494-2,28-APR-2000 09:55,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P4494-3,28-APR-2000 10:00,G,TOTAL SUSPENDED SOLIDS,14.0,mg/L
TINHOUSE1,P4494-3,28-APR-2000 10:00,G,VOLATILE SUSPENDED SOLIDS,6.0,mg/L
TINHOUSE1,P4494-3,28-APR-2000 10:00,G,COLOR,33.0,PCU
TINHOUSE1,P4494-5,28-APR-2000 10:05,G,COLOR,34.0,PCU
TINHOUSE1,P4494-5,28-APR-2000 10:05,G,TOTAL SUSPENDED SOLIDS,13.0,mg/L
TINHOUSE1,P4494-5,28-APR-2000 10:05,G,VOLATILE SUSPENDED SOLIDS,6.0,mg/L
TINHOUSE1,P5439-5,17-JUL-2000 09:30,G,COLOR,41.0,PCU
TINHOUSE1,P5439-5,17-JUL-2000 09:30,G,VOLATILE SUSPENDED SOLIDS,24.0,mg/L
TINHOUSE1,P5439-5,17-JUL-2000 09:30,G,TOTAL SUSPENDED SOLIDS,35.0,mg/L
TINHOUSE1,P5818-5,21-AUG-2000 10:20,G,COLOR,38.0,PCU
TINHOUSE1,P5818-5,21-AUG-2000 10:20,G,VOLATILE SUSPENDED SOLIDS,13.2,mg/L
TINHOUSE1,P5818-5,21-AUG-2000 10:20,G,TOTAL SUSPENDED SOLIDS,21.8,mg/L
TINHOUSE1,P6538-20,27-OCT-2000 11:00,G,TOTAL SUSPENDED SOLIDS,3.4,mg/L
TINHOUSE1,P6538-20,27-OCT-2000 11:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P7923-5,10-APR-2001 00:00,G,NO BOTTLE SAMPLE,0.0,Units
TINHOUSE1,P9790-5,16-OCT-2001 11:40,G,COLOR,56.0,PCU
TINHOUSE1,P9790-5,16-OCT-2001 11:40,G,TOTAL SUSPENDED SOLIDS,10.4,mg/L
TINHOUSE1,P9790-5,16-OCT-2001 11:40,G,VOLATILE SUSPENDED SOLIDS,10.4,mg/L
TINHOUSE1,P10069-5,13-NOV-2001 11:30,G,TOTAL SUSPENDED SOLIDS,1.6,mg/L
TINHOUSE1,P10069-5,13-NOV-2001 11:30,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P10069-5,13-NOV-2001 11:30,G,COLOR,55.0,PCU
TINHOUSE1,P10568-6,10-JAN-2002 10:40,G,TOTAL SUSPENDED SOLIDS,5.6,mg/L
TINHOUSE1,P10568-6,10-JAN-2002 10:40,G,COLOR,66.0,PCU
TINHOUSE1,P10568-6,10-JAN-2002 10:40,G,VOLATILE SUSPENDED SOLIDS,4.8,mg/L
TINHOUSE1,P11094-6,19-MAR-2002 09:40,G,COLOR,60.0,PCU
TINHOUSE1,P11094-6,19-MAR-2002 09:40,G,TOTAL SUSPENDED SOLIDS,3.6,mg/L
TINHOUSE1,P11094-6,19-MAR-2002 09:40,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P11338-6,16-APR-2002 10:55,G,VOLATILE SUSPENDED SOLIDS,3.2,mg/L
TINHOUSE1,P11338-6,16-APR-2002 10:55,G,TOTAL SUSPENDED SOLIDS,5.2,mg/L
TINHOUSE1,P11338-6,16-APR-2002 10:55,G,COLOR,84.0,PCU
TINHOUSE1,P11914-7,25-JUN-2002 10:05,CDI,VOLATILE SUSPENDED SOLIDS,7.2,mg/L
TINHOUSE1,P11914-7,25-JUN-2002 10:05,CDI,TOTAL SUSPENDED SOLIDS,10.0,mg/L
TINHOUSE1,P12193-7,10-JUL-2002 10:30,CDI,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE1,P12193-7,10-JUL-2002 10:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P12408-7,08-AUG-2002 10:00,CDI,TOTAL SUSPENDED SOLIDS,4.8,mg/L
TINHOUSE1,P12408-7,08-AUG-2002 10:00,CDI,VOLATILE SUSPENDED SOLIDS,4.4,mg/L
TINHOUSE1,P12793-7,17-SEP-2002 10:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P12793-7,17-SEP-2002 10:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P13900-3,09-JAN-2003 09:35,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P13900-3,09-JAN-2003 09:35,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P13900-7,09-JAN-2003 10:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P13900-7,09-JAN-2003 10:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P14766-3,02-APR-2003 11:10,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P14766-3,02-APR-2003 11:10,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P14766-7,02-APR-2003 11:15,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P14766-7,02-APR-2003 11:15,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P15861-7,10-JUL-2003 10:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P15861-7,10-JUL-2003 10:30,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17243-7,07-OCT-2003 11:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17243-7,07-OCT-2003 11:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17961-1,09-JAN-2004 09:30,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17961-1,09-JAN-2004 09:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17961-3,09-JAN-2004 09:35,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17961-3,09-JAN-2004 09:35,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17961-7,09-JAN-2004 09:40,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P17961-7,09-JAN-2004 09:40,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P18895-7,15-APR-2004 09:45,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P18895-7,15-APR-2004 09:45,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P19723-7,29-JUN-2004 09:30,CDI,VOLATILE SUSPENDED SOLIDS,6.0,mg/L
TINHOUSE1,P19723-7,29-JUN-2004 09:30,CDI,TOTAL SUSPENDED SOLIDS,6.0,mg/L
TINHOUSE1,P20617-1,06-OCT-2004 10:00,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P20617-7,06-OCT-2004 10:00,CDI,VOLATILE SUSPENDED SOLIDS,14.0,mg/L
TINHOUSE1,P20617-1,06-OCT-2004 10:00,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE1,P20617-7,06-OCT-2004 10:00,CDI,TOTAL SUSPENDED SOLIDS,26.0,mg/L
TINHOUSE1,P21443-7,06-JAN-2005 10:00,CDI,TOTAL SUSPENDED SOLIDS,19.0,mg/L
TINHOUSE1,P21443-7,06-JAN-2005 10:00,CDI,VOLATILE SUSPENDED SOLIDS,7.0,mg/L
TINHOUSE1,P22542-7,12-APR-2005 10:00,CDI,VOLATILE SUSPENDED SOLIDS,29.0,mg/L
