Station ID,Sample ID,Collection_Date,Collection Method,Test Name,Value,Units
TINHOUSE3,P3612-16,31-JAN-2000 09:15,G,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P3612-16,31-JAN-2000 09:15,G,COLOR,-1.0,PCU
TINHOUSE3,P3612-16,31-JAN-2000 09:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P3612-17,31-JAN-2000 09:20,G,VOLATILE SUSPENDED SOLIDS,16.0,mg/L
TINHOUSE3,P3612-17,31-JAN-2000 09:20,G,TOTAL SUSPENDED SOLIDS,34.0,mg/L
TINHOUSE3,P3612-17,31-JAN-2000 09:20,G,COLOR,52.0,PCU
TINHOUSE3,P3612-1,31-JAN-2000 09:25,G,COLOR,53.0,PCU
TINHOUSE3,P3612-1,31-JAN-2000 09:25,G,TOTAL SUSPENDED SOLIDS,36.0,mg/L
TINHOUSE3,P3612-1,31-JAN-2000 09:25,G,VOLATILE SUSPENDED SOLIDS,16.0,mg/L
TINHOUSE3,P4494-1,28-APR-2000 09:40,G,COLOR,38.0,PCU
TINHOUSE3,P4494-1,28-APR-2000 09:40,G,TOTAL SUSPENDED SOLIDS,16.0,mg/L
TINHOUSE3,P4494-1,28-APR-2000 09:40,G,VOLATILE SUSPENDED SOLIDS,8.0,mg/L
TINHOUSE3,P5194-2,19-JUN-2000 09:45,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P5194-2,19-JUN-2000 09:45,G,COLOR,1.0,PCU
TINHOUSE3,P5194-2,19-JUN-2000 09:45,G,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P5194-1,19-JUN-2000 10:00,G,COLOR,38.0,PCU
TINHOUSE3,P5194-1,19-JUN-2000 10:00,G,VOLATILE SUSPENDED SOLIDS,18.0,mg/L
TINHOUSE3,P5194-1,19-JUN-2000 10:00,G,TOTAL SUSPENDED SOLIDS,47.0,mg/L
TINHOUSE3,P5194-3,19-JUN-2000 10:15,G,VOLATILE SUSPENDED SOLIDS,16.0,mg/L
TINHOUSE3,P5194-3,19-JUN-2000 10:15,G,COLOR,38.0,PCU
TINHOUSE3,P5194-3,19-JUN-2000 10:15,G,TOTAL SUSPENDED SOLIDS,42.0,mg/L
TINHOUSE3,P5439-1,17-JUL-2000 08:45,G,TOTAL SUSPENDED SOLIDS,43.0,mg/L
TINHOUSE3,P5439-1,17-JUL-2000 08:45,G,VOLATILE SUSPENDED SOLIDS,27.0,mg/L
TINHOUSE3,P5439-1,17-JUL-2000 08:45,G,COLOR,35.0,PCU
TINHOUSE3,P5439-2,17-JUL-2000 08:50,G,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P5439-2,17-JUL-2000 08:50,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P5439-2,17-JUL-2000 08:50,G,COLOR,-1.0,PCU
TINHOUSE3,P5439-3,17-JUL-2000 08:55,G,VOLATILE SUSPENDED SOLIDS,26.0,mg/L
TINHOUSE3,P5439-3,17-JUL-2000 08:55,G,COLOR,35.0,PCU
TINHOUSE3,P5439-3,17-JUL-2000 08:55,G,TOTAL SUSPENDED SOLIDS,41.0,mg/L
TINHOUSE3,P5818-2,21-AUG-2000 09:45,G,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P5818-2,21-AUG-2000 09:45,G,COLOR,-1.0,PCU
TINHOUSE3,P5818-2,21-AUG-2000 09:45,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P5818-1,21-AUG-2000 10:00,G,TOTAL SUSPENDED SOLIDS,9.8,mg/L
TINHOUSE3,P5818-1,21-AUG-2000 10:00,G,COLOR,24.0,PCU
TINHOUSE3,P5818-1,21-AUG-2000 10:00,G,VOLATILE SUSPENDED SOLIDS,7.6,mg/L
TINHOUSE3,P5818-3,21-AUG-2000 10:05,G,VOLATILE SUSPENDED SOLIDS,3.0,mg/L
TINHOUSE3,P5818-3,21-AUG-2000 10:05,G,COLOR,25.0,PCU
TINHOUSE3,P5818-3,21-AUG-2000 10:05,G,TOTAL SUSPENDED SOLIDS,7.8,mg/L
TINHOUSE3,P6538-16,27-OCT-2000 10:30,G,TOTAL SUSPENDED SOLIDS,6.6,mg/L
TINHOUSE3,P6538-16,27-OCT-2000 10:30,G,VOLATILE SUSPENDED SOLIDS,3.8,mg/L
TINHOUSE3,P6538-18,27-OCT-2000 10:30,G,TOTAL SUSPENDED SOLIDS,7.2,mg/L
TINHOUSE3,P6538-18,27-OCT-2000 10:30,G,VOLATILE SUSPENDED SOLIDS,3.8,mg/L
TINHOUSE3,P6538-17,27-OCT-2000 10:30,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P6538-17,27-OCT-2000 10:30,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE3,P7923-2,10-APR-2001 10:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P7923-3,10-APR-2001 10:15,G,COLOR,37.0,PCU
TINHOUSE3,P7923-2,10-APR-2001 10:15,G,COLOR,-1.0,PCU
TINHOUSE3,P7923-3,10-APR-2001 10:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P7923-3,10-APR-2001 10:15,G,TOTAL SUSPENDED SOLIDS,2.0,mg/L
TINHOUSE3,P7923-1,10-APR-2001 10:15,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P7923-1,10-APR-2001 10:15,G,COLOR,37.0,PCU
TINHOUSE3,P7923-1,10-APR-2001 10:15,G,TOTAL SUSPENDED SOLIDS,3.0,mg/L
TINHOUSE3,P7923-2,10-APR-2001 10:15,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE3,P9149-2,06-AUG-2001 11:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P9149-2,06-AUG-2001 11:00,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE3,P9149-2,06-AUG-2001 11:00,G,COLOR,-1.0,PCU
TINHOUSE3,P9149-1,06-AUG-2001 11:10,G,TOTAL SUSPENDED SOLIDS,3.2,mg/L
TINHOUSE3,P9149-1,06-AUG-2001 11:10,G,COLOR,25.0,PCU
TINHOUSE3,P9149-1,06-AUG-2001 11:10,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P9149-3,06-AUG-2001 11:20,G,TOTAL SUSPENDED SOLIDS,4.4,mg/L
TINHOUSE3,P9149-3,06-AUG-2001 11:20,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P9149-3,06-AUG-2001 11:20,G,COLOR,25.0,PCU
TINHOUSE3,P9525-1,17-SEP-2001 09:15,G,COLOR,51.0,PCU
TINHOUSE3,P9525-1,17-SEP-2001 09:15,G,VOLATILE SUSPENDED SOLIDS,3.6,mg/L
TINHOUSE3,P9525-1,17-SEP-2001 09:15,G,TOTAL SUSPENDED SOLIDS,4.0,mg/L
TINHOUSE3,P9525-2,17-SEP-2001 09:20,G,COLOR,-1.0,PCU
TINHOUSE3,P9525-2,17-SEP-2001 09:20,G,TOTAL SUSPENDED SOLIDS,1.2,mg/L
TINHOUSE3,P9525-2,17-SEP-2001 09:20,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P9525-3,17-SEP-2001 09:25,G,TOTAL SUSPENDED SOLIDS,4.4,mg/L
TINHOUSE3,P9525-3,17-SEP-2001 09:25,G,COLOR,51.0,PCU
TINHOUSE3,P9525-3,17-SEP-2001 09:25,G,VOLATILE SUSPENDED SOLIDS,3.2,mg/L
TINHOUSE3,P9790-1,16-OCT-2001 11:30,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P9790-1,16-OCT-2001 11:30,G,TOTAL SUSPENDED SOLIDS,3.6,mg/L
TINHOUSE3,P9790-1,16-OCT-2001 11:30,G,COLOR,85.0,PCU
TINHOUSE3,P10047-2,08-NOV-2001 10:00,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE3,P10047-2,08-NOV-2001 10:00,G,COLOR,-1.0,PCU
TINHOUSE3,P10047-2,08-NOV-2001 10:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P10069-1,13-NOV-2001 10:30,G,TOTAL SUSPENDED SOLIDS,2.4,mg/L
TINHOUSE3,P10069-1,13-NOV-2001 10:30,G,COLOR,99.0,PCU
TINHOUSE3,P10069-1,13-NOV-2001 10:30,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P10069-2,13-NOV-2001 10:45,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE3,P10069-2,13-NOV-2001 10:45,G,COLOR,-1.0,PCU
TINHOUSE3,P10069-2,13-NOV-2001 10:45,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P10069-3,13-NOV-2001 11:00,G,TOTAL SUSPENDED SOLIDS,2.0,mg/L
TINHOUSE3,P10069-3,13-NOV-2001 11:00,G,COLOR,54.0,PCU
TINHOUSE3,P10069-3,13-NOV-2001 11:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P11094-8,19-MAR-2002 09:50,G,TOTAL SUSPENDED SOLIDS,3.6,mg/L
TINHOUSE3,P11094-8,19-MAR-2002 09:50,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P11094-8,19-MAR-2002 09:50,G,COLOR,38.0,PCU
TINHOUSE3,P11374-2,18-APR-2002 10:00,G,TOTAL SUSPENDED SOLIDS,-1.0,mg/L
TINHOUSE3,P11374-2,18-APR-2002 10:00,G,COLOR,-1.0,PCU
TINHOUSE3,P11374-2,18-APR-2002 10:00,G,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P11374-3,18-APR-2002 10:15,G,TOTAL SUSPENDED SOLIDS,12.8,mg/L
TINHOUSE3,P11374-3,18-APR-2002 10:15,G,COLOR,39.0,PCU
TINHOUSE3,P11374-3,18-APR-2002 10:15,G,VOLATILE SUSPENDED SOLIDS,8.8,mg/L
TINHOUSE3,P11374-8,18-APR-2002 10:20,G,TOTAL SUSPENDED SOLIDS,12.8,mg/L
TINHOUSE3,P11374-8,18-APR-2002 10:20,G,COLOR,38.0,PCU
TINHOUSE3,P11374-8,18-APR-2002 10:20,G,VOLATILE SUSPENDED SOLIDS,8.4,mg/L
TINHOUSE3,P11914-9,25-JUN-2002 10:30,CDI,TOTAL SUSPENDED SOLIDS,6.4,mg/L
TINHOUSE3,P11914-9,25-JUN-2002 10:30,CDI,VOLATILE SUSPENDED SOLIDS,4.4,mg/L
TINHOUSE3,P12193-9,10-JUL-2002 10:50,CDI,TOTAL SUSPENDED SOLIDS,8.8,mg/L
TINHOUSE3,P12193-9,10-JUL-2002 10:50,CDI,VOLATILE SUSPENDED SOLIDS,5.2,mg/L
TINHOUSE3,P12408-9,08-AUG-2002 10:10,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P12408-9,08-AUG-2002 10:10,CDI,TOTAL SUSPENDED SOLIDS,2.8,mg/L
TINHOUSE3,P12793-9,17-SEP-2002 10:20,CDI,VOLATILE SUSPENDED SOLIDS,4.8,mg/L
TINHOUSE3,P12793-9,17-SEP-2002 10:20,CDI,TOTAL SUSPENDED SOLIDS,4.4,mg/L
TINHOUSE3,P13900-9,09-JAN-2003 10:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P13900-9,09-JAN-2003 10:30,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P14766-9,02-APR-2003 11:30,CDI,TOTAL SUSPENDED SOLIDS,3.1,mg/L
TINHOUSE3,P14766-9,02-APR-2003 11:30,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P15861-9,10-JUL-2003 10:40,CDI,TOTAL SUSPENDED SOLIDS,8.9,mg/L
TINHOUSE3,P15861-9,10-JUL-2003 10:40,CDI,VOLATILE SUSPENDED SOLIDS,8.1,mg/L
TINHOUSE3,P17243-9,07-OCT-2003 11:25,CDI,TOTAL SUSPENDED SOLIDS,6.0,mg/L
TINHOUSE3,P17243-9,07-OCT-2003 11:25,CDI,VOLATILE SUSPENDED SOLIDS,6.0,mg/L
TINHOUSE3,P17961-9,09-JAN-2004 10:05,CDI,VOLATILE SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P17961-9,09-JAN-2004 10:05,CDI,TOTAL SUSPENDED SOLIDS,-3.0,mg/L
TINHOUSE3,P18895-9,15-APR-2004 09:55,CDI,VOLATILE SUSPENDED SOLIDS,4.0,mg/L
TINHOUSE3,P18895-9,15-APR-2004 09:55,CDI,TOTAL SUSPENDED SOLIDS,5.0,mg/L
TINHOUSE3,P19723-9,29-JUN-2004 09:50,CDI,TOTAL SUSPENDED SOLIDS,20.0,mg/L
TINHOUSE3,P19723-9,29-JUN-2004 09:50,CDI,VOLATILE SUSPENDED SOLIDS,17.0,mg/L
TINHOUSE3,P24853-9,18-OCT-2005 10:15,CDI,TOTAL SUSPENDED SOLIDS,17.0,mg/L
TINHOUSE3,P24853-9,18-OCT-2005 10:15,CDI,VOLATILE SUSPENDED SOLIDS,9.0,mg/L
TINHOUSE3,P25586-9,10-JAN-2006 10:30,CDI,VOLATILE SUSPENDED SOLIDS,13.0,mg/L
TINHOUSE3,P25586-9,10-JAN-2006 10:30,CDI,TOTAL SUSPENDED SOLIDS,24.0,mg/L
TINHOUSE3,P28039-9,07-SEP-2006 09:36,CDI,"PHOSPHATE, TOTAL AS P",0.10400000000000001,mg/L
TINHOUSE3,P28039-9,07-SEP-2006 09:36,CDI,CHLOROPHYLL-A,22.0,ug/L
TINHOUSE3,P28039-9,07-SEP-2006 09:36,CDI,TOTAL SUSPENDED SOLIDS,20.0,mg/L
TINHOUSE3,P28039-9,07-SEP-2006 09:36,CDI,"KJELDAHL NITROGEN, TOTAL",1.6,mg/L
TINHOUSE3,P28039-9,07-SEP-2006 09:36,CDI,VOLATILE SUSPENDED SOLIDS,13.0,mg/L
